rBin, g
0.0078125, 0
0.0234375, 0
0.0390625, 0
0.0546875, 0
0.0703125, 0
0.0859375, 0
0.101562, 0
0.117188, 0
0.132812, 0
0.148438, 0
0.164062, 0
0.179688, 0
0.195312, 0
0.210938, 0
0.226562, 0
0.242188, 0
0.257812, 0
0.273438, 0
0.289062, 0
0.304688, 0
0.320312, 0
0.335938, 0
0.351562, 0
0.367188, 0
0.382812, 0
0.398438, 0
0.414062, 0
0.429688, 0
0.445312, 0
0.460938, 0
0.476562, 0
0.492188, 0
0.507812, 0
0.523438, 0
0.539062, 0
0.554688, 0
0.570312, 0
0.585938, 0
0.601562, 0
0.617188, 0
0.632812, 0
0.648438, 0
0.664062, 0
0.679688, 0
0.695312, 0
0.710938, 0
0.726562, 0
0.742188, 0
0.757812, 0
0.773438, 0
0.789062, 0
0.804688, 0
0.820312, 0
0.835938, 0
0.851562, 0
0.867188, 0
0.882812, 0
0.898438, 0.0207867
0.914062, 0.179342
0.929688, 0.484343
0.945312, 1.04706
0.960938, 1.70377
0.976562, 2.65395
0.992188, 3.524
1.00781, 4.31355
1.02344, 5.14589
1.03906, 5.77147
1.05469, 6.5241
1.07031, 6.78947
1.08594, 7.03
1.10156, 7.11866
1.11719, 7.12497
1.13281, 6.9699
1.14844, 6.97987
1.16406, 7.06801
1.17969, 6.85302
1.19531, 6.79642
1.21094, 6.4654
1.22656, 6.14788
1.24219, 6.25263
1.25781, 6.09082
1.27344, 5.96232
1.28906, 5.84497
1.30469, 5.65728
1.32031, 5.41902
1.33594, 5.07139
1.35156, 4.90836
1.36719, 5.0177
1.38281, 4.94
1.39844, 4.8848
1.41406, 4.85577
1.42969, 4.69675
1.44531, 4.82257
1.46094, 4.57214
1.47656, 4.53219
1.49219, 4.41381
1.50781, 4.34605
1.52344, 4.32736
1.53906, 4.10006
1.55469, 4.11224
1.57031, 3.95636
1.58594, 3.90822
1.60156, 3.95949
1.61719, 3.87376
1.63281, 3.94599
1.64844, 3.84942
1.66406, 3.54268
1.67969, 3.80745
1.69531, 3.76257
1.71094, 3.59722
1.72656, 3.70889
1.74219, 3.59463
1.75781, 3.57567
1.77344, 3.52076
1.78906, 3.69763
1.80469, 3.48279
1.82031, 3.44834
1.83594, 3.51732
1.85156, 3.54704
1.86719, 3.64516
1.88281, 3.85957
1.89844, 3.82016
1.91406, 3.68706
1.92969, 3.7056
1.94531, 3.75797
1.96094, 3.75766
1.97656, 3.92532
1.99219, 3.82162
2.00781, 3.90143
2.02344, 4.00565
2.03906, 3.87624
2.05469, 3.871
2.07031, 3.91094
2.08594, 3.82097
2.10156, 3.80539
2.11719, 3.8959
2.13281, 4.02108
2.14844, 4.02468
2.16406, 4.01192
2.17969, 4.02409
2.19531, 3.95292
2.21094, 3.96909
2.22656, 4.0158
2.24219, 4.03779
2.25781, 3.93264
2.27344, 3.92296
2.28906, 4.08927
2.30469, 4.13357
2.32031, 4.17639
2.33594, 4.16177
2.35156, 4.15265
2.36719, 4.13576
2.38281, 4.04768
2.39844, 4.07928
2.41406, 4.09414
2.42969, 4.12247
2.44531, 4.03842
2.46094, 4.02374
2.47656, 3.99081
2.49219, 3.97662
2.50781, 3.84924
2.52344, 3.95615
2.53906, 3.95551
2.55469, 3.88908
2.57031, 4.10602
2.58594, 4.0122
2.60156, 4.10774
2.61719, 3.95874
2.63281, 3.98332
2.64844, 3.9465
2.66406, 4.0324
2.67969, 4.0267
2.69531, 4.05879
2.71094, 3.92747
2.72656, 3.86843
2.74219, 3.83882
2.75781, 4.10901
2.77344, 3.94745
2.78906, 3.97965
2.80469, 3.91826
2.82031, 3.99662
2.83594, 3.91021
2.85156, 3.96883
2.86719, 3.8343
2.88281, 3.89917
2.89844, 3.934
2.91406, 3.90649
2.92969, 3.91328
2.94531, 3.85448
2.96094, 3.77947
2.97656, 3.84259
2.99219, 3.80796
3.00781, 3.89581
3.02344, 3.83792
3.03906, 3.91925
3.05469, 3.92026
3.07031, 3.85029
3.08594, 3.7649
3.10156, 3.79611
3.11719, 3.73515
3.13281, 3.86489
3.14844, 3.8602
3.16406, 3.89951
3.17969, 3.80856
3.19531, 3.76721
3.21094, 3.76826
3.22656, 3.95581
3.24219, 3.89899
3.25781, 3.83952
3.27344, 3.76858
3.28906, 3.79547
3.30469, 3.81081
3.32031, 3.826
3.33594, 3.8286
3.35156, 3.91848
3.36719, 3.9952
3.38281, 3.9608
3.39844, 3.99144
3.41406, 3.9829
3.42969, 3.89154
3.44531, 3.8751
3.46094, 3.87619
3.47656, 3.7376
3.49219, 3.76663
3.50781, 3.78062
3.52344, 3.7132
3.53906, 3.69857
3.55469, 3.69924
3.57031, 3.71211
3.58594, 3.76422
3.60156, 3.75941
3.61719, 3.80283
3.63281, 3.90014
3.64844, 3.87093
3.66406, 3.75701
3.67969, 3.7732
3.69531, 3.69099
3.71094, 3.86109
3.72656, 3.97409
3.74219, 3.87654
3.75781, 3.94325
3.77344, 4.05395
3.78906, 4.09035
3.80469, 4.02065
3.82031, 4.01507
3.83594, 4.05768
3.85156, 3.95394
3.86719, 3.92187
3.88281, 3.95098
3.89844, 3.90427
3.91406, 3.91996
3.92969, 3.9049
3.94531, 3.89733
3.96094, 3.93329
3.97656, 3.98776
3.99219, 4.0574
4.00781, 0
4.02344, 0
4.03906, 0
4.05469, 0
4.07031, 0
4.08594, 0
4.10156, 0
4.11719, 0
4.13281, 0
4.14844, 0
4.16406, 0
4.17969, 0
4.19531, 0
4.21094, 0
4.22656, 0
4.24219, 0
4.25781, 0
4.27344, 0
4.28906, 0
4.30469, 0
4.32031, 0
4.33594, 0
4.35156, 0
4.36719, 0
4.38281, 0
4.39844, 0
4.41406, 0
4.42969, 0
4.44531, 0
4.46094, 0
4.47656, 0
4.49219, 0
4.50781, 0
4.52344, 0
4.53906, 0
4.55469, 0
4.57031, 0
4.58594, 0
4.60156, 0
4.61719, 0
4.63281, 0
4.64844, 0
4.66406, 0
4.67969, 0
4.69531, 0
4.71094, 0
4.72656, 0
4.74219, 0
4.75781, 0
4.77344, 0
4.78906, 0
4.80469, 0
4.82031, 0
4.83594, 0
4.85156, 0
4.86719, 0
4.88281, 0
