t, T, Ekin, Epot, vS.x, vS.y
0, 1, 63, -9.15067, 3.46945e-17, -3.46945e-17
0.01, 1.00012, 63.0076, -9.15824, -1.21431e-17, -3.98986e-17
0.02, 1.00048, 63.0303, -9.18101, 5.0307e-17, -4.51028e-17
0.03, 1.00109, 63.0686, -9.21928, 3.1225e-17, -4.68375e-17
0.04, 1.00195, 63.1228, -9.27345, 1.21431e-17, -4.68375e-17
0.05, 1.00307, 63.1934, -9.34407, 2.08167e-17, -4.85723e-17
0.06, 1.00446, 63.2813, -9.43183, 6.93889e-18, -5.20417e-17
0.07, 1.00614, 63.387, -9.53757, 8.67362e-18, -3.81639e-17
0.08, 1.00812, 63.5118, -9.66229, 4.68375e-17, -5.20417e-17
0.09, 1.01043, 63.6568, -9.80716, 2.25514e-17, -9.71445e-17
0.1, 1.01307, 63.8233, -9.97358, 3.81639e-17, -8.50015e-17
0.11, 1.01608, 64.013, -10.1631, 3.29597e-17, -6.41848e-17
0.12, 1.01949, 64.2276, -10.3776, 6.76542e-17, -7.45931e-17
0.13, 1.02332, 64.4693, -10.6191, 4.85723e-17, -6.76542e-17
0.14, 1.02763, 64.7404, -10.89, 1.73472e-17, -6.07153e-17
0.15, 1.03244, 65.0436, -11.193, 3.64292e-17, -1.12757e-16
0.16, 1.03781, 65.3819, -11.531, 2.77556e-17, -8.32667e-17
0.17, 1.04379, 65.7586, -11.9075, 6.93889e-18, -1.11022e-16
0.18, 1.05043, 66.1773, -12.3259, 1.04083e-17, -1.249e-16
0.19, 1.05781, 66.6419, -12.7902, 6.93889e-17, -1.11022e-16
0.2, 1.06598, 67.1565, -13.3046, 4.16334e-17, -1.23165e-16
0.21, 1.075, 67.7251, -13.8729, 7.28584e-17, -1.30104e-16
0.22, 1.08494, 68.3512, -14.4988, 6.245e-17, -1.12757e-16
0.23, 1.09583, 69.037, -15.1847, 4.85723e-17, -1.12757e-16
0.24, 1.10766, 69.7823, -15.9304, 2.77556e-17, -1.45717e-16
0.25, 1.12035, 70.5819, -16.7311, 3.46945e-17, -1.56125e-16
0.26, 1.13368, 71.4221, -17.5736, 6.93889e-18, -1.43982e-16
0.27, 1.14721, 72.274, -18.4298, 3.81639e-17, -1.38778e-16
0.28, 1.16005, 73.0831, -19.2465, 0, -1.63064e-16
0.29, 1.17071, 73.7548, -19.9307, 5.20417e-17, -1.61329e-16
0.3, 1.17677, 74.1368, -20.3314, 0, -1.59595e-16
0.31, 1.17483, 74.0141, -20.2323, 3.46945e-17, -1.70003e-16
0.32, 1.1612, 73.1554, -19.392, 6.93889e-18, -1.63064e-16
0.33, 1.13453, 71.4752, -17.7045, 5.20417e-18, -1.8735e-16
0.34, 1.09994, 69.2963, -15.4805, 2.25514e-17, -1.78677e-16
0.35, 1.06999, 67.4092, -13.5455, 2.1684e-17, -1.9082e-16
0.36, 1.05675, 66.5753, -12.711, 6.93889e-18, -1.83881e-16
0.37, 1.06279, 66.9555, -13.1178, 4.85723e-17, -1.99493e-16
0.38, 1.08396, 68.2896, -14.4685, 5.20417e-17, -1.85615e-16
0.39, 1.11509, 70.2505, -16.4671, 1.38778e-17, -1.73472e-16
0.4, 1.14633, 72.219, -18.4973, -1.38778e-17, -1.85615e-16
0.41, 1.16449, 73.3631, -19.6638, -1.38778e-17, -1.80411e-16
0.42, 1.16576, 73.4426, -19.6817, 1.38778e-17, -2.09902e-16
0.43, 1.16343, 73.2958, -19.448, 6.93889e-18, -2.19443e-16
0.44, 1.17387, 73.9535, -20.1138, 2.08167e-17, -2.19443e-16
0.45, 1.19598, 75.3469, -21.5606, 2.08167e-17, -2.28116e-16
0.46, 1.21777, 76.7192, -22.9498, 2.77556e-17, -1.89952e-16
0.47, 1.23245, 77.6443, -23.865, 2.77556e-17, -2.15106e-16
0.48, 1.23989, 78.1132, -24.3218, 2.77556e-17, -2.14238e-16
0.49, 1.24183, 78.2354, -24.4373, 4.16334e-17, -2.01228e-16
0.5, 1.2399, 78.1136, -24.3071, 3.46945e-17, -1.97758e-16
0.51, 1.23668, 77.9105, -24.0845, 1.38778e-17, -1.93422e-16
0.52, 1.23706, 77.9348, -24.0857, 4.16334e-17, -1.94289e-16
