x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16
7.31101, 1.27662, 5.37922, 7.48079, 0.285909, 3.69326, 5.83072, 4.63168, 6.30601, 0.472004, 5.5699, 2.03597, 4.69584, 4.80115, 1.24008, 4.04588, 3.37839, 5.28312, 5.62765, 6.09315, 0.634415, 2.10577, 6.73343, 3.59891, 7.87833, 4.73645, 3.03798, 0.313097, 5.34844, 3.58455, 2.74267, 1.84759
7.29432, 1.27881, 5.38813, 7.50672, 0.284043, 3.69882, 5.82705, 4.62589, 6.32334, 0.482297, 5.58727, 2.04443, 4.70555, 4.78343, 1.21505, 4.05342, 3.40011, 5.28398, 5.6312, 6.08998, 0.645286, 2.10489, 6.72493, 3.59088, 7.87371, 4.72641, 3.03235, 0.300515, 5.33434, 3.59361, 2.73332, 1.83591
7.27749, 1.28091, 5.3972, 7.53265, 0.279728, 3.70328, 5.8234, 4.62001, 6.34071, 0.492642, 5.60468, 2.05294, 4.7153, 4.76564, 1.19233, 4.06192, 3.42199, 5.28477, 5.6347, 6.08675, 0.656082, 2.10406, 6.71626, 3.58303, 7.86909, 4.71636, 3.0267, 0.28802, 5.32038, 3.60286, 2.72398, 1.82415
7.26051, 1.28292, 5.40642, 7.5586, 0.272213, 3.70621, 5.81988, 4.61405, 6.35809, 0.503041, 5.62214, 2.0615, 4.72501, 4.74778, 1.17269, 4.07171, 3.44404, 5.28549, 5.63814, 6.08347, 0.666808, 2.10327, 6.70742, 3.57536, 7.86442, 4.7064, 3.02104, 0.275612, 5.30653, 3.61227, 2.71464, 1.8123
7.2434, 1.28485, 5.41581, 7.58457, 0.261025, 3.70721, 5.8166, 4.60804, 6.37547, 0.51348, 5.63965, 2.07011, 4.73458, 4.72986, 1.15665, 4.08307, 3.46627, 5.28615, 5.64154, 6.08011, 0.67747, 2.10253, 6.69843, 3.56787, 7.85967, 4.69667, 3.01536, 0.263291, 5.29276, 3.62182, 2.70531, 1.80037
7.2262, 1.28673, 5.42535, 7.61059, 0.246209, 3.70608, 5.81372, 4.60201, 6.39279, 0.523923, 5.65722, 2.07876, 4.74389, 4.71188, 1.14423, 4.09604, 3.48866, 5.28673, 5.6449, 6.07667, 0.688072, 2.10183, 6.68927, 3.56056, 7.85478, 4.68731, 3.00968, 0.251055, 5.27905, 3.63148, 2.69598, 1.78836
7.20897, 1.28864, 5.43506, 7.63666, 0.228333, 3.7028, 5.81143, 4.59599, 6.40998, 0.534295, 5.67485, 2.08746, 4.75276, 4.69386, 1.13491, 4.11047, 3.51123, 5.28724, 5.64822, 6.07314, 0.69862, 2.10118, 6.67995, 3.55343, 7.84969, 4.6785, 3.00397, 0.238905, 5.26538, 3.64118, 2.68665, 1.77626
7.19187, 1.29072, 5.44494, 7.66279, 0.208255, 3.6975, 5.80994, 4.59003, 6.42686, 0.544452, 5.69255, 2.0962, 4.76098, 4.67587, 1.12788, 4.12606, 3.53398, 5.28766, 5.6515, 6.06951, 0.709118, 2.10057, 6.67048, 3.54647, 7.84435, 4.67041, 2.99826, 0.226841, 5.25173, 3.65082, 2.67732, 1.76409
7.17513, 1.29321, 5.45498, 7.689, 0.186834, 3.69035, 5.80948, 4.58416, 6.44319, 0.554152, 5.71031, 2.10498, 4.76833, 4.65801, 1.12233, 4.14245, 3.5569, 5.288, 5.65474, 6.06578, 0.719569, 2.10002, 6.66085, 3.5397, 7.83872, 4.66323, 2.99253, 0.214862, 5.2381, 3.66025, 2.66799, 1.75183
7.15911, 1.29651, 5.4652, 7.71529, 0.164762, 3.68151, 5.81028, 4.57844, 6.4586, 0.563005, 5.72816, 2.1138, 4.77453, 4.64047, 1.11759, 4.15938, 3.58001, 5.28826, 5.65795, 6.06193, 0.729976, 2.0995, 6.65107, 3.53312, 7.83276, 4.65709, 2.98679, 0.202968, 5.22456, 3.66925, 2.65867, 1.7395
