t, T, Ekin, Epot, vS.x, vS.y
0, 1, 15, -2.1337, 4.85723e-17, 5.55112e-17
0.01, 1.00014, 15.0022, -2.13624, 1.04083e-16, 5.55112e-17
0.02, 1.00056, 15.0085, -2.14279, 7.63278e-17, 6.93889e-17
0.03, 1.00125, 15.0188, -2.15336, 1.11022e-16, 5.55112e-17
0.04, 1.00221, 15.0332, -2.16801, 6.93889e-17, 2.77556e-17
0.05, 1.00345, 15.0518, -2.1868, 9.71445e-17, 5.55112e-17
0.06, 1.00497, 15.0746, -2.20987, 5.55112e-17, 4.16334e-17
0.07, 1.00679, 15.1018, -2.23736, 9.71445e-17, 4.16334e-17
0.08, 1.00891, 15.1337, -2.26947, 8.32667e-17, 5.55112e-17
0.09, 1.01136, 15.1704, -2.30644, 9.71445e-17, 5.55112e-17
0.1, 1.01415, 15.2123, -2.34856, 1.17961e-16, 4.16334e-17
0.11, 1.01731, 15.2596, -2.39618, 1.249e-16, 5.55112e-17
0.12, 1.02086, 15.3129, -2.4497, 1.11022e-16, 4.16334e-17
0.13, 1.02483, 15.3725, -2.50961, 8.32667e-17, 4.16334e-17
0.14, 1.02927, 15.4391, -2.57646, 8.32667e-17, 5.55112e-17
0.15, 1.03422, 15.5132, -2.65088, 1.66533e-16, 5.55112e-17
0.16, 1.03971, 15.5957, -2.7336, 1.45717e-16, 4.16334e-17
0.17, 1.04581, 15.6872, -2.82542, 1.66533e-16, 4.16334e-17
0.18, 1.05258, 15.7887, -2.92721, 1.45717e-16, 2.77556e-17
0.19, 1.06008, 15.9012, -3.03988, 1.04083e-16, 4.16334e-17
0.2, 1.06835, 16.0253, -3.16428, 6.93889e-17, 4.16334e-17
0.21, 1.07745, 16.1618, -3.30104, 1.31839e-16, 5.55112e-17
0.22, 1.08738, 16.3108, -3.45032, 1.31839e-16, 8.32667e-17
0.23, 1.09808, 16.4711, -3.61119, 1.52656e-16, 9.71445e-17
0.24, 1.10932, 16.6398, -3.78069, 1.17961e-16, 9.71445e-17
0.25, 1.12065, 16.8098, -3.95201, 1.38778e-16, 8.32667e-17
0.26, 1.13112, 16.9668, -4.11133, 1.17961e-16, 6.93889e-17
0.27, 1.13896, 17.0844, -4.23282, 1.11022e-16, 8.32667e-17
0.28, 1.14112, 17.1168, -4.27138, 1.04083e-16, 6.93889e-17
0.29, 1.1329, 16.9935, -4.15658, 1.52656e-16, 5.55112e-17
0.3, 1.10874, 16.6311, -3.8015, 1.249e-16, 4.16334e-17
0.31, 1.06631, 15.9946, -3.16138, 1.52656e-16, 2.77556e-17
0.32, 1.0156, 15.2339, -2.37545, 1.38778e-16, 1.38778e-17
0.33, 0.984336, 14.765, -1.87559, 1.31839e-16, 0
0.34, 1.00016, 15.0024, -2.11675, 1.31839e-16, -2.77556e-17
0.35, 1.06002, 15.9003, -3.04791, 1.66533e-16, -1.38778e-17
0.36, 1.13392, 17.0088, -4.17861, 1.52656e-16, -2.77556e-17
0.37, 1.19652, 17.9478, -5.11901, 1.66533e-16, -1.38778e-17
0.38, 1.24035, 18.6052, -5.76914, 1.80411e-16, 1.38778e-17
0.39, 1.26846, 19.0269, -6.18362, 1.94289e-16, 0
0.4, 1.28594, 19.2891, -6.44136, 2.01228e-16, -2.77556e-17
0.41, 1.29645, 19.4467, -6.59712, 2.15106e-16, -2.77556e-17
0.42, 1.30168, 19.5252, -6.67576, 2.56739e-16, -2.77556e-17
0.43, 1.30178, 19.5267, -6.67864, 2.15106e-16, 0
0.44, 1.29586, 19.4379, -6.59199, 1.8735e-16, -1.38778e-17
0.45, 1.28278, 19.2418, -6.39742, 1.94289e-16, -1.38778e-17
0.46, 1.26215, 18.9323, -6.08755, 2.08167e-16, -4.16334e-17
0.47, 1.23574, 18.5361, -5.68745, 2.08167e-16, -2.77556e-17
0.48, 1.20864, 18.1295, -5.27356, 2.56739e-16, -1.38778e-17
0.49, 1.18878, 17.8317, -4.96824, 2.77556e-16, 0
0.5, 1.18367, 17.7551, -4.88949, 2.08167e-16, 0
0.51, 1.19563, 17.9345, -5.07464, 2.28983e-16, 0
0.52, 1.21961, 18.2942, -5.44462, 2.08167e-16, -1.38778e-17
0.53, 1.24602, 18.6903, -5.84958, 1.8735e-16, 1.38778e-17
0.54, 1.26614, 18.992, -6.15491, 2.28983e-16, 1.38778e-17
0.55, 1.27602, 19.1403, -6.3008, 2.42861e-16, 0
0.56, 1.27748, 19.1622, -6.31565, 2.22045e-16, 1.38778e-17
0.57, 1.27676, 19.1515, -6.29632, 2.15106e-16, -1.38778e-17
0.58, 1.28155, 19.2232, -6.36221, 1.80411e-16, 1.38778e-17
0.59, 1.2969, 19.4535, -6.59254, 2.08167e-16, 0
0.6, 1.32264, 19.8396, -6.98353, 1.80411e-16, 1.38778e-17
0.61, 1.35416, 20.3124, -7.46213, 1.80411e-16, 4.16334e-17
0.62, 1.38569, 20.7854, -7.939, 2.22045e-16, 4.16334e-17
0.63, 1.41294, 21.194, -8.34948, 1.94289e-16, 5.55112e-17
0.64, 1.43348, 21.5023, -8.65901, 1.38778e-16, 5.55112e-17
0.65, 1.44566, 21.6849, -8.84441, 1.66533e-16, 6.93889e-17
0.66, 1.44689, 21.7033, -8.86882, 1.11022e-16, 9.71445e-17
0.67, 1.4324, 21.486, -8.66128, 1.52656e-16, 8.32667e-17
0.68, 1.39572, 20.9359, -8.12032, 1.52656e-16, 6.93889e-17
0.69, 1.33435, 20.0153, -7.19357, 1.66533e-16, 1.11022e-16
0.7, 1.26321, 18.9482, -6.08947, 1.80411e-16, 1.11022e-16
0.71, 1.22127, 18.3191, -5.42272, 1.52656e-16, 8.32667e-17
0.72, 1.24066, 18.61, -5.73247, 1.249e-16, 1.11022e-16
0.73, 1.30604, 19.5906, -6.75972, 1.52656e-16, 9.71445e-17
0.74, 1.37424, 20.6136, -7.80222, 1.38778e-16, 8.32667e-17
0.75, 1.41921, 21.2881, -8.47038, 1.11022e-16, 9.71445e-17
0.76, 1.43965, 21.5948, -8.7631, 1.11022e-16, 1.11022e-16
0.77, 1.4451, 21.6765, -8.8326, 9.71445e-17, 1.11022e-16
0.78, 1.44575, 21.6862, -8.83461, 5.55112e-17, 1.249e-16
0.79, 1.44842, 21.7263, -8.87178, 6.245e-17, 1.11022e-16
0.8, 1.45571, 21.8357, -8.98151, 6.93889e-17, 9.71445e-17
0.81, 1.4672, 22.008, -9.15495, 6.245e-17, 1.249e-16
0.82, 1.48158, 22.2236, -9.37091, 8.32667e-17, 1.38778e-16
