rBin, g
0.0625, 0
0.1875, 0
0.3125, 0
0.4375, 0
0.5625, 0
0.6875, 0
0.8125, 0
0.9375, 0.322032
1.0625, 1.80113
1.1875, 1.76546
1.3125, 1.44549
1.4375, 1.20485
1.5625, 1.05192
1.6875, 0.93758
1.8125, 0.891604
1.9375, 0.951715
2.0625, 0.972613
2.1875, 1.00542
2.3125, 1.02747
2.4375, 1.0152
2.5625, 1.05526
2.6875, 1.06764
2.8125, 1.03665
2.9375, 1.0194
3.0625, 1.00834
3.1875, 0.987697
3.3125, 0.978507
3.4375, 1.00925
3.5625, 0.99191
3.6875, 0.993619
3.8125, 1.00418
3.9375, 1.02871
4.0625, 1.03237
4.1875, 1.00108
4.3125, 1.02829
4.4375, 1.00558
4.5625, 0.961466
4.6875, 0.980081
4.8125, 1.00999
4.9375, 0.989077
5.0625, 1.0016
5.1875, 0.997378
5.3125, 0.982888
5.4375, 1.02616
5.5625, 1.01594
5.6875, 0.993525
5.8125, 0.993827
5.9375, 0.995566
6.0625, 1.02125
6.1875, 1.03127
6.3125, 1.01771
6.4375, 1.01209
6.5625, 0.999217
6.6875, 1.0261
6.8125, 1.03818
6.9375, 1.01344
7.0625, 0.994878
7.1875, 1.01205
7.3125, 1.00289
7.4375, 1.03327
7.5625, 1.03342
7.6875, 1.01127
7.8125, 1.00907
7.9375, 0.995681
8.0625, 0
8.1875, 0
8.3125, 0
8.4375, 0
8.5625, 0
8.6875, 0
8.8125, 0
8.9375, 0
9.0625, 0
9.1875, 0
9.3125, 0
9.4375, 0
9.5625, 0
9.6875, 0
9.8125, 0
9.9375, 0
10.0625, 0
10.1875, 0
10.3125, 0
10.4375, 0
10.5625, 0
10.6875, 0
10.8125, 0
10.9375, 0
11.0625, 0
11.1875, 0
11.3125, 0
11.4375, 0
11.5625, 0
11.6875, 0
11.8125, 0
11.9375, 0
12.0625, 0
12.1875, 0
12.3125, 0
12.4375, 0
12.5625, 0
12.6875, 0
12.8125, 0
12.9375, 0
13.0625, 0
13.1875, 0
13.3125, 0
13.4375, 0
13.5625, 0
13.6875, 0
13.8125, 0
13.9375, 0
14.0625, 0
14.1875, 0
14.3125, 0
14.4375, 0
14.5625, 0
14.6875, 0
14.8125, 0
14.9375, 0
15.0625, 0
15.1875, 0
15.3125, 0
15.4375, 0
15.5625, 0
15.6875, 0
15.8125, 0
15.9375, 0
