rBin, g
0.0625, 0
0.1875, 0
0.3125, 0
0.4375, 0
0.5625, 0
0.6875, 0
0.8125, 0
0.9375, 0.200779
1.0625, 2.10269
1.1875, 2.29723
1.3125, 1.62013
1.4375, 1.26024
1.5625, 1.03209
1.6875, 0.965738
1.8125, 0.867482
1.9375, 0.862622
2.0625, 0.9558
2.1875, 1.12605
2.3125, 1.20707
2.4375, 1.09109
2.5625, 1.08826
2.6875, 1.05642
2.8125, 1.01668
2.9375, 1.03854
3.0625, 1.0496
3.1875, 1.02278
3.3125, 1.05383
3.4375, 1.02654
3.5625, 1.05151
3.6875, 1.05374
3.8125, 0.994973
3.9375, 0.995616
4.0625, 1.02363
4.1875, 1.02079
4.3125, 1.05301
4.4375, 1.01829
4.5625, 1.03491
4.6875, 0.996806
4.8125, 0.999662
4.9375, 0.954707
5.0625, 1.01463
5.1875, 1.03692
5.3125, 1.028
5.4375, 1.01803
5.5625, 0.987503
5.6875, 0.976802
5.8125, 0.987577
5.9375, 1.0111
6.0625, 1.02304
6.1875, 0.998362
6.3125, 0.995524
6.4375, 1.02458
6.5625, 1.01396
6.6875, 1.0161
6.8125, 0.993115
6.9375, 1.01032
7.0625, 1.03229
7.1875, 1.00351
7.3125, 0.994808
7.4375, 0.997155
7.5625, 1.01522
7.6875, 0.994606
7.8125, 1.01296
7.9375, 0.999451
8.0625, 0
8.1875, 0
8.3125, 0
8.4375, 0
8.5625, 0
8.6875, 0
8.8125, 0
8.9375, 0
9.0625, 0
9.1875, 0
9.3125, 0
9.4375, 0
9.5625, 0
9.6875, 0
9.8125, 0
9.9375, 0
10.0625, 0
10.1875, 0
10.3125, 0
10.4375, 0
10.5625, 0
10.6875, 0
10.8125, 0
10.9375, 0
11.0625, 0
11.1875, 0
11.3125, 0
11.4375, 0
11.5625, 0
11.6875, 0
11.8125, 0
11.9375, 0
12.0625, 0
12.1875, 0
12.3125, 0
12.4375, 0
12.5625, 0
12.6875, 0
12.8125, 0
12.9375, 0
13.0625, 0
13.1875, 0
13.3125, 0
13.4375, 0
13.5625, 0
13.6875, 0
13.8125, 0
13.9375, 0
14.0625, 0
14.1875, 0
14.3125, 0
14.4375, 0
14.5625, 0
14.6875, 0
14.8125, 0
14.9375, 0
15.0625, 0
15.1875, 0
15.3125, 0
15.4375, 0
15.5625, 0
15.6875, 0
15.8125, 0
15.9375, 0
