rBin, g
0.03125, 0
0.09375, 0
0.15625, 0
0.21875, 0
0.28125, 0
0.34375, 0
0.40625, 0
0.46875, 0
0.53125, 0
0.59375, 0
0.65625, 0
0.71875, 0
0.78125, 0
0.84375, 0.000307416
0.90625, 0.180244
0.96875, 2.27979
1.03125, 5.99896
1.09375, 7.61733
1.15625, 7.51788
1.21875, 6.74697
1.28125, 5.98568
1.34375, 5.35983
1.40625, 4.83885
1.46875, 4.48822
1.53125, 4.28737
1.59375, 4.06811
1.65625, 3.8701
1.71875, 3.79858
1.78125, 3.77364
1.84375, 3.76727
1.90625, 3.80496
1.96875, 3.94197
2.03125, 4.0086
2.09375, 4.08038
2.15625, 4.17532
2.21875, 4.22805
2.28125, 4.23859
2.34375, 4.23593
2.40625, 4.27605
2.46875, 4.22395
2.53125, 4.21476
2.59375, 4.1888
2.65625, 4.14256
2.71875, 4.08802
2.78125, 4.08139
2.84375, 4.04546
2.90625, 4.04235
2.96875, 4.06544
3.03125, 4.07472
3.09375, 4.07808
3.15625, 4.09706
3.21875, 4.07764
3.28125, 4.07717
3.34375, 4.0944
3.40625, 4.08629
3.46875, 4.06706
3.53125, 4.04761
3.59375, 4.05107
3.65625, 4.05911
3.71875, 4.04288
3.78125, 4.08516
3.84375, 4.09339
3.90625, 4.06963
3.96875, 4.06938
4.03125, 4.06283
4.09375, 4.06021
4.15625, 4.07779
4.21875, 4.07207
4.28125, 4.0654
4.34375, 4.08338
4.40625, 4.07477
4.46875, 4.11913
4.53125, 4.07828
4.59375, 4.04638
4.65625, 4.03586
4.71875, 4.04038
4.78125, 4.06507
4.84375, 4.06815
4.90625, 4.06729
4.96875, 4.06439
5.03125, 4.03587
5.09375, 4.05851
5.15625, 4.07715
5.21875, 4.0587
5.28125, 4.06711
5.34375, 4.0485
5.40625, 4.09105
5.46875, 4.087
5.53125, 4.07649
5.59375, 4.08043
5.65625, 4.10013
5.71875, 4.09131
5.78125, 4.0848
5.84375, 4.10499
5.90625, 4.10375
5.96875, 4.10142
6.03125, 4.07385
6.09375, 4.05773
6.15625, 4.06354
6.21875, 4.06357
6.28125, 4.0721
6.34375, 4.09384
6.40625, 4.06601
6.46875, 4.08046
6.53125, 4.0817
6.59375, 4.08176
6.65625, 4.06826
6.71875, 4.06039
6.78125, 4.07972
6.84375, 4.06767
6.90625, 4.05496
6.96875, 4.06314
7.03125, 4.06403
7.09375, 4.07378
7.15625, 4.09024
7.21875, 4.06381
7.28125, 4.05438
7.34375, 4.05932
7.40625, 4.04049
7.46875, 4.03891
7.53125, 4.0382
7.59375, 4.05295
7.65625, 4.05586
7.71875, 4.0474
7.78125, 4.05468
7.84375, 4.03835
7.90625, 4.06113
7.96875, 4.05976
8.03125, 4.07732
8.09375, 4.06874
8.15625, 4.0462
8.21875, 4.04829
8.28125, 4.05794
8.34375, 4.05406
8.40625, 4.04914
8.46875, 4.03503
8.53125, 4.03661
8.59375, 4.04419
8.65625, 4.05237
8.71875, 4.04785
8.78125, 4.04697
8.84375, 4.05095
8.90625, 4.06055
8.96875, 4.06655
9.03125, 4.06111
9.09375, 4.06215
9.15625, 4.05235
9.21875, 4.02409
9.28125, 4.01815
9.34375, 4.02639
9.40625, 4.02744
9.46875, 4.03435
9.53125, 4.03263
9.59375, 4.03695
9.65625, 4.04386
9.71875, 4.0512
9.78125, 4.05047
9.84375, 4.04555
9.90625, 4.04751
9.96875, 4.05843
10.0312, 4.06635
10.0938, 4.07827
10.1562, 4.06905
10.2188, 4.06423
10.2812, 4.05399
10.3438, 4.04764
10.4062, 4.03336
10.4688, 4.05096
10.5312, 4.04227
10.5938, 4.06153
10.6562, 4.06279
10.7188, 4.05682
10.7812, 4.05126
10.8438, 4.04773
10.9062, 4.04823
10.9688, 4.03094
11.0312, 4.03414
11.0938, 4.03849
11.1562, 4.03257
11.2188, 4.03337
11.2812, 4.0362
11.3438, 4.02441
11.4062, 4.03257
11.4688, 4.04151
11.5312, 4.03957
11.5938, 4.03886
11.6562, 4.04996
11.7188, 4.06122
11.7812, 4.05295
11.8438, 4.04982
11.9062, 4.04642
11.9688, 4.05341
12.0312, 4.05844
12.0938, 4.05621
12.1562, 4.06553
12.2188, 4.06044
12.2812, 4.04934
12.3438, 4.04458
12.4062, 4.04645
12.4688, 4.04762
12.5312, 4.04216
12.5938, 4.04249
12.6562, 4.05279
12.7188, 4.0505
12.7812, 4.04679
12.8438, 4.03865
12.9062, 4.05446
12.9688, 4.06024
13.0312, 4.05468
13.0938, 4.06621
13.1562, 4.04843
13.2188, 4.04768
13.2812, 4.04525
13.3438, 4.05348
13.4062, 4.05957
13.4688, 4.06578
13.5312, 4.06049
13.5938, 4.05924
13.6562, 4.05118
13.7188, 4.04455
13.7812, 4.05567
13.8438, 4.05502
13.9062, 4.05521
13.9688, 4.05587
14.0312, 4.06594
14.0938, 4.0775
14.1562, 4.08423
14.2188, 4.07215
14.2812, 4.06167
14.3438, 4.06302
14.4062, 4.06575
14.4688, 4.07227
14.5312, 4.09797
14.5938, 4.0735
14.6562, 4.08453
14.7188, 4.0699
14.7812, 4.06232
14.8438, 4.05312
14.9062, 4.06546
14.9688, 4.06652
15.0312, 4.07648
15.0938, 4.06704
15.1562, 4.07155
15.2188, 4.07945
15.2812, 4.0718
15.3438, 4.07517
15.4062, 4.0715
15.4688, 4.07158
15.5312, 4.07983
15.5938, 4.08211
15.6562, 4.09582
15.7188, 4.08227
15.7812, 4.076
15.8438, 4.08423
15.9062, 4.08601
15.9688, 4.08715
16.0312, 0
16.0938, 0
16.1562, 0
16.2188, 0
16.2812, 0
16.3438, 0
16.4062, 0
16.4688, 0
16.5312, 0
16.5938, 0
16.6562, 0
16.7188, 0
16.7812, 0
16.8438, 0
16.9062, 0
16.9688, 0
17.0312, 0
17.0938, 0
17.1562, 0
17.2188, 0
17.2812, 0
17.3438, 0
17.4062, 0
17.4688, 0
17.5312, 0
17.5938, 0
17.6562, 0
17.7188, 0
17.7812, 0
17.8438, 0
17.9062, 0
17.9688, 0
18.0312, 0
18.0938, 0
18.1562, 0
18.2188, 0
18.2812, 0
18.3438, 0
18.4062, 0
18.4688, 0
18.5312, 0
18.5938, 0
18.6562, 0
