x1,y1,x2,y2vx1,vy1,vx2,vy2
0, 1, 0, -0.5, 0.8, 0, -0.4, 0
0.08, 0.995556, -0.04, -0.497778, 0.8, -0.0888889, -0.4, 0.0444444
0.159286, 0.982229, -0.0796431, -0.491114, 0.792862, -0.177711, -0.396431, 0.0888557
0.237135, 0.960041, -0.118568, -0.48002, 0.778492, -0.266327, -0.389246, 0.133164
0.312805, 0.929028, -0.156402, -0.464514, 0.756695, -0.354572, -0.378347, 0.177286
0.385523, 0.889248, -0.192761, -0.444624, 0.727178, -0.442238, -0.363589, 0.221119
0.454477, 0.840787, -0.227238, -0.420394, 0.689539, -0.529054, -0.34477, 0.264527
0.518803, 0.783766, -0.259402, -0.391883, 0.643268, -0.614658, -0.321634, 0.307329
0.577576, 0.718355, -0.288788, -0.359177, 0.587731, -0.698558, -0.293865, 0.349279
0.629794, 0.64479, -0.314897, -0.322395, 0.522175, -0.780093, -0.261087, 0.390046
0.674366, 0.563398, -0.337183, -0.281699, 0.445722, -0.858366, -0.222861, 0.429183
0.710104, 0.474625, -0.355052, -0.237313, 0.357381, -0.93217, -0.178691, 0.466085
0.735712, 0.379082, -0.367856, -0.189541, 0.25608, -0.999879, -0.12804, 0.49994
0.749784, 0.277594, -0.374892, -0.138797, 0.140723, -1.05932, -0.0703614, 0.529659
0.750816, 0.171279, -0.375408, -0.0856395, 0.0103182, -1.1076, -0.00515911, 0.553799
0.737235, 0.0616302, -0.368618, -0.0308151, -0.135809, -1.14093, 0.0679046, 0.570466
0.70747, -0.0493716, -0.353735, 0.0246858, -0.297654, -1.15446, 0.148827, 0.577231
0.660074, -0.159143, -0.330037, 0.0795715, -0.47396, -1.14216, 0.23698, 0.571079
0.593934, -0.264395, -0.296967, 0.132198, -0.661396, -1.09697, 0.330698, 0.548484
0.508582, -0.361095, -0.254291, 0.180547, -0.853526, -1.01144, 0.426763, 0.50572
0.404599, -0.444567, -0.2023, 0.222284, -1.03982, -0.879167, 0.519912, 0.439584
0.284059, -0.509846, -0.14203, 0.254923, -1.2054, -0.697235, 0.6027, 0.348618
0.150819, -0.552329, -0.0754094, 0.276165, -1.33241, -0.469276, 0.666203, 0.234638
0.0104353, -0.568655, -0.00521767, 0.284327, -1.40383, -0.207696, 0.701917, 0.103848
-0.130452, -0.557505, 0.0652261, 0.278753, -1.40888, 0.0670497, 0.704438, -0.0335249
-0.265162, -0.519954, 0.132581, 0.259977, -1.3471, 0.331062, 0.673549, -0.165531
-0.388018, -0.459159, 0.194009, 0.22958, -1.22856, 0.563509, 0.614279, -0.281755
-0.494997, -0.379577, 0.247499, 0.189788, -1.0698, 0.751378, 0.534898, -0.375689
-0.583849, -0.286093, 0.291924, 0.143047, -0.888513, 0.890391, 0.444257, -0.445195
