S,R,Z,Psi
1.37,0.0136989,0.000161652,0.0136997
1.38,0.0137989,0.000163521,0.0137997
1.39,0.0138988,0.000165401,0.0138997
1.4,0.0139988,0.000167291,0.0139997
1.41,0.0140988,0.000169191,0.0140997
1.42,0.0141988,0.000171101,0.0141997
1.43,0.0142988,0.000173021,0.0142997
1.44,0.0143988,0.00017495,0.0143997
1.45,0.0144987,0.00017689,0.0144997
1.46,0.0145987,0.00017884,0.0145997
1.47,0.0146987,0.0001808,0.0146997
1.48,0.0147987,0.00018277,0.0147997
1.49,0.0148987,0.000184749,0.0148997
1.5,0.0149986,0.000186739,0.0149997
1.51,0.0150986,0.000188739,0.0150997
1.52,0.0151986,0.000190749,0.0151997
1.53,0.0152986,0.000192769,0.0152997
1.54,0.0153986,0.000194798,0.0153997
1.55,0.0154985,0.000196838,0.0154997
1.56,0.0155985,0.000198888,0.0155997
1.57,0.0156985,0.000200948,0.0156997
1.58,0.0157985,0.000203018,0.0157997
1.59,0.0158984,0.000205097,0.0158997
1.6,0.0159984,0.000207187,0.0159996
1.61,0.0160984,0.000209287,0.0160996
1.62,0.0161984,0.000211397,0.0161996
1.63,0.0162984,0.000213517,0.0162996
1.64,0.0163983,0.000215646,0.0163996
1.65,0.0164983,0.000217786,0.0164996
1.66,0.0165983,0.000219936,0.0165996
1.67,0.0166983,0.000222096,0.0166996
1.68,0.0167982,0.000224265,0.0167996
1.69,0.0168982,0.000226445,0.0168996
1.7,0.0169982,0.000228635,0.0169996
1.71,0.0170982,0.000230835,0.0170996
1.72,0.0171981,0.000233044,0.0171996
1.73,0.0172981,0.000235264,0.0172996
1.74,0.0173981,0.000237494,0.0173996
1.75,0.0174981,0.000239734,0.0174996
1.76,0.017598,0.000241983,0.0175996
1.77,0.017698,0.000244243,0.0176996
1.78,0.017798,0.000246513,0.0177996
1.79,0.017898,0.000248792,0.0178996
1.8,0.0179979,0.000251082,0.0179996
1.81,0.0180979,0.000253382,0.0180995
1.82,0.0181979,0.000255692,0.0181995
1.83,0.0182978,0.000258011,0.0182995
1.84,0.0183978,0.000260341,0.0183995
1.85,0.0184978,0.000262681,0.0184995
1.86,0.0185978,0.00026503,0.0185995
1.87,0.0186977,0.00026739,0.0186995
1.88,0.0187977,0.00026976,0.0187995
1.89,0.0188977,0.000272139,0.0188995
1.9,0.0189977,0.000274529,0.0189995
1.91,0.0190976,0.000276929,0.0190995
1.92,0.0191976,0.000279339,0.0191995
1.93,0.0192976,0.000281758,0.0192995
1.94,0.0193975,0.000284188,0.0193995
1.95,0.0194975,0.000286628,0.0194995
1.96,0.0195975,0.000289077,0.0195995
1.97,0.0196974,0.000291537,0.0196995
1.98,0.0197974,0.000294006,0.0197994
1.99,0.0198974,0.000296486,0.0198994
2,0.0199973,0.000298976,0.0199994
2.01,0.0200973,0.000301475,0.0200994
2.02,0.0201973,0.000303985,0.0201994
2.03,0.0202973,0.000306505,0.0202994
2.04,0.0203972,0.000309034,0.0203994
2.05,0.0204972,0.000311574,0.0204994
2.06,0.0205972,0.000314124,0.0205994
2.07,0.0206971,0.000316683,0.0206994
2.08,0.0207971,0.000319253,0.0207994
2.09,0.0208971,0.000321832,0.0208994
2.1,0.020997,0.000324422,0.0209994
2.11,0.021097,0.000327022,0.0210994
2.12,0.021197,0.000329631,0.0211994
2.13,0.0212969,0.000332251,0.0212994
2.14,0.0213969,0.00033488,0.0213993
2.15,0.0214968,0.00033752,0.0214993
2.16,0.0215968,0.00034017,0.0215993
2.17,0.0216968,0.000342829,0.0216993
2.18,0.0217967,0.000345499,0.0217993
2.19,0.0218967,0.000348178,0.0218993
2.2,0.0219967,0.000350868,0.0219993
2.21,0.0220966,0.000353567,0.0220993
2.22,0.0221966,0.000356277,0.0221993
2.23,0.0222966,0.000358996,0.0222993
2.24,0.0223965,0.000361726,0.0223993
2.25,0.0224965,0.000364466,0.0224993
2.26,0.0225964,0.000367215,0.0225993
2.27,0.0226964,0.000369975,0.0226993
2.28,0.0227964,0.000372744,0.0227993
2.29,0.0228963,0.000375524,0.0228992
2.3,0.0229963,0.000378313,0.0229992
2.31,0.0230962,0.000381113,0.0230992
2.32,0.0231962,0.000383922,0.0231992
2.33,0.0232962,0.000386742,0.0232992
