S,R,Z,Psi
0,0,0,0
0.01,9.99999e-05,1.25e-07,2.5e-05
0.02,0.0002,2.525e-07,4.99999e-05
0.03,0.0003,3.82499e-07,7.49999e-05
0.04,0.0004,5.14999e-07,9.99999e-05
0.05,0.000499999,6.49999e-07,0.000125
0.06,0.000599999,7.87499e-07,0.00015
0.07,0.000699999,9.27498e-07,0.000175
0.08,0.000799999,1.07e-06,0.0002
0.09,0.000899999,1.215e-06,0.000225
0.1,0.000999999,1.3625e-06,0.00025
0.11,0.0011,1.5125e-06,0.000275
0.12,0.0012,1.665e-06,0.0003
0.13,0.0013,1.82e-06,0.000324999
0.14,0.0014,1.9775e-06,0.000349999
0.15,0.0015,2.1375e-06,0.000374999
0.16,0.0016,2.3e-06,0.000399999
0.17,0.0017,2.465e-06,0.000424999
0.18,0.0018,2.63249e-06,0.000449999
0.19,0.0019,2.80249e-06,0.000474999
0.2,0.002,2.97499e-06,0.000499999
0.21,0.0021,3.14999e-06,0.000524999
0.22,0.0022,3.32749e-06,0.000549999
0.23,0.0023,3.50749e-06,0.000574999
0.24,0.0024,3.68999e-06,0.000599999
0.25,0.0025,3.87499e-06,0.000624999
0.26,0.0026,4.06249e-06,0.000649999
0.27,0.0027,4.25249e-06,0.000674999
0.28,0.0028,4.44499e-06,0.000699998
0.29,0.0029,4.63999e-06,0.000724998
0.3,0.003,4.83749e-06,0.000749998
0.31,0.0031,5.03749e-06,0.000774998
0.32,0.00319999,5.23999e-06,0.000799998
0.33,0.00329999,5.44499e-06,0.000824998
0.34,0.00339999,5.65249e-06,0.000849998
0.35,0.00349999,5.86248e-06,0.000874998
0.36,0.00359999,6.07498e-06,0.000899998
0.37,0.00369999,6.28998e-06,0.000924998
0.38,0.00379999,6.50748e-06,0.000949998
0.39,0.00389999,6.72748e-06,0.000974997
0.4,0.00399999,6.94998e-06,0.000999997
0.41,0.00409999,7.17498e-06,0.001025
0.42,0.00419999,7.40248e-06,0.00105
0.43,0.00429999,7.63248e-06,0.001075
0.44,0.00439999,7.86498e-06,0.0011
0.45,0.00449999,8.09997e-06,0.001125
0.46,0.00459999,8.33747e-06,0.00115
0.47,0.00469999,8.57747e-06,0.001175
0.48,0.00479999,8.81997e-06,0.0012
0.49,0.00489999,9.06497e-06,0.001225
0.5,0.00499999,9.31247e-06,0.00125
0.51,0.00509999,9.56247e-06,0.001275
0.52,0.00519999,9.81497e-06,0.0013
0.53,0.00529999,1.007e-05,0.001325
0.54,0.00539999,1.03275e-05,0.00135
0.55,0.00549999,1.05875e-05,0.001375
0.56,0.00559999,1.085e-05,0.0014
0.57,0.00569999,1.1115e-05,0.001425
0.58,0.00579999,1.13825e-05,0.00144999
0.59,0.00589999,1.16525e-05,0.00147499
0.6,0.00599999,1.1925e-05,0.00149999
0.61,0.00609999,1.22e-05,0.00152499
0.62,0.00619999,1.24775e-05,0.00154999
0.63,0.00629998,1.27574e-05,0.00157499
0.64,0.00639998,1.30399e-05,0.00159999
0.65,0.00649998,1.33249e-05,0.00162499
0.66,0.00659998,1.36124e-05,0.00164999
0.67,0.00669998,1.39024e-05,0.00167499
0.68,0.00679998,1.41949e-05,0.00169999
0.69,0.00689998,1.44899e-05,0.00172499
0.7,0.00699998,1.47874e-05,0.00174999
0.71,0.00709998,1.50874e-05,0.00177499
0.72,0.00719998,1.53899e-05,0.00179999
0.73,0.00729998,1.56949e-05,0.00182499
0.74,0.00739998,1.60024e-05,0.00184999
0.75,0.00749998,1.63124e-05,0.00187499
0.76,0.00759998,1.66249e-05,0.00189999
0.77,0.00769998,1.69399e-05,0.00192499
0.78,0.00779998,1.72574e-05,0.00194999
0.79,0.00789998,1.75774e-05,0.00197499
0.8,0.00799998,1.78999e-05,0.00199999
0.81,0.00809998,1.82249e-05,0.00202499
0.82,0.00819998,1.85524e-05,0.00204999
0.83,0.00829997,1.88824e-05,0.00207499
0.84,0.00839997,1.92149e-05,0.00209999
0.85,0.00849997,1.95499e-05,0.00212499
0.86,0.00859997,1.98874e-05,0.00214999
0.87,0.00869997,2.02274e-05,0.00217499
0.88,0.00879997,2.05699e-05,0.00219999
0.89,0.00889997,2.09149e-05,0.00222499
0.9,0.00899997,2.12624e-05,0.00224999
0.91,0.00909997,2.16124e-05,0.00227499
0.92,0.00919997,2.19649e-05,0.00229999
0.93,0.00929997,2.23199e-05,0.00232499
0.94,0.00939997,2.26774e-05,0.00234999
0.95,0.00949997,2.30374e-05,0.00237499
0.96,0.00959997,2.33999e-05,0.00239999
0.97,0.00969997,2.37649e-05,0.00242499
0.98,0.00979997,2.41324e-05,0.00244999
0.99,0.00989996,2.45024e-05,0.00247499
1,0.00999996,2.48749e-05,0.00249999
1.01,0.0101,2.52499e-05,0.00252499
1.02,0.0102,2.56273e-05,0.00254999
1.03,0.0103,2.60073e-05,0.00257498
1.04,0.0104,2.63898e-05,0.00259998
1.05,0.0105,2.67748e-05,0.00262498
1.06,0.0106,2.71623e-05,0.00264998
1.07,0.0107,2.75523e-05,0.00267498
1.08,0.0108,2.79448e-05,0.00269998
1.09,0.0109,2.83398e-05,0.00272498
1.1,0.011,2.87373e-05,0.00274998
1.11,0.0111,2.91373e-05,0.00277498
1.12,0.0112,2.95398e-05,0.00279998
1.13,0.0113,2.99448e-05,0.00282498
1.14,0.0114,3.03523e-05,0.00284998
1.15,0.0115,3.07623e-05,0.00287498
1.16,0.0116,3.11748e-05,0.00289998
1.17,0.0117,3.15898e-05,0.00292498
1.18,0.0117999,3.20073e-05,0.00294998
1.19,0.0118999,3.24273e-05,0.00297498
1.2,0.0119999,3.28498e-05,0.00299998
1.21,0.0120999,3.32748e-05,0.00302498
1.22,0.0121999,3.37023e-05,0.00304998
1.23,0.0122999,3.41323e-05,0.00307498
1.24,0.0123999,3.45647e-05,0.00309998
1.25,0.0124999,3.49997e-05,0.00312498
1.26,0.0125999,3.54372e-05,0.00314998
1.27,0.0126999,3.58772e-05,0.00317498
1.28,0.0127999,3.63197e-05,0.00319998
1.29,0.0128999,3.67647e-05,0.00322498
1.3,0.0129999,3.72122e-05,0.00324998
1.31,0.0130999,3.76622e-05,0.00327498
1.32,0.0131999,3.81147e-05,0.00329997
1.33,0.0132999,3.85697e-05,0.00332497
1.34,0.0133999,3.90272e-05,0.00334997
1.35,0.0134999,3.94872e-05,0.00337497
1.36,0.0135999,3.99497e-05,0.00339997
1.37,0.0136999,4.04147e-05,0.00342497
1.38,0.0137999,4.08822e-05,0.00344997
1.39,0.0138999,4.13522e-05,0.00347497
1.4,0.0139999,4.18247e-05,0.00349997
1.41,0.0140999,4.22996e-05,0.00352497
1.42,0.0141999,4.27771e-05,0.00354997
1.43,0.0142999,4.32571e-05,0.00357497
1.44,0.0143999,4.37396e-05,0.00359997
1.45,0.0144999,4.42246e-05,0.00362497
1.46,0.0145999,4.47121e-05,0.00364997
1.47,0.0146999,4.52021e-05,0.00367497
1.48,0.0147999,4.56946e-05,0.00369997
1.49,0.0148999,4.61896e-05,0.00372497
1.5,0.0149999,4.66871e-05,0.00374997
1.51,0.0150999,4.71871e-05,0.00377497
1.52,0.0151999,4.76896e-05,0.00379997
1.53,0.0152999,4.81946e-05,0.00382497
1.54,0.0153999,4.8702e-05,0.00384996
1.55,0.0154999,4.9212e-05,0.00387496
1.56,0.0155999,4.97245e-05,0.00389996
1.57,0.0156999,5.02395e-05,0.00392496
1.58,0.0157999,5.0757e-05,0.00394996
