x1,y1,x2,y2vx1,vy1,vx2,vy2
0, 1, 0, -0.5, 0.8, 0, -0.4, 0
0.08, 0.991111, -0.04, -0.495556, 0.8, -0.0888889, -0.4, 0.0444444
0.159277, 0.973261, -0.0796383, -0.48663, 0.792767, -0.178502, -0.396383, 0.0892511
0.237077, 0.946391, -0.118539, -0.473196, 0.778006, -0.268695, -0.389003, 0.134347
0.312609, 0.910463, -0.156304, -0.455232, 0.755314, -0.35928, -0.377657, 0.17964
0.385025, 0.865463, -0.192513, -0.432731, 0.724164, -0.450004, -0.362082, 0.225002
0.453415, 0.811411, -0.226707, -0.405706, 0.683897, -0.540517, -0.341948, 0.270259
0.516786, 0.748378, -0.258393, -0.374189, 0.63371, -0.63033, -0.316855, 0.315165
0.57405, 0.676502, -0.287025, -0.338251, 0.572645, -0.718761, -0.286322, 0.35938
0.624009, 0.596016, -0.312004, -0.298008, 0.499585, -0.80486, -0.249792, 0.40243
0.665335, 0.507285, -0.332667, -0.253643, 0.41326, -0.887312, -0.20663, 0.443656
0.696563, 0.410855, -0.348281, -0.205427, 0.312281, -0.964304, -0.15614, 0.482152
0.716084, 0.307519, -0.358042, -0.15376, 0.195212, -1.03335, -0.0976062, 0.516677
0.722157, 0.198409, -0.361079, -0.0992043, 0.060732, -1.09111, -0.030366, 0.545553
0.712948, 0.0850994, -0.356474, -0.0425497, -0.0920872, -1.13309, 0.0460436, 0.566546
0.686619, -0.0302534, -0.34331, 0.0151267, -0.263292, -1.15353, 0.131646, 0.576764
0.64149, -0.144778, -0.320745, 0.0723889, -0.451289, -1.14524, 0.225645, 0.572622
0.576312, -0.254777, -0.288156, 0.127389, -0.651784, -1.09999, 0.325892, 0.549997
0.490658, -0.355725, -0.245329, 0.177862, -0.856542, -1.00947, 0.428271, 0.504737
0.38541, -0.442467, -0.192705, 0.221233, -1.05248, -0.86742, 0.526241, 0.43371
0.263205, -0.509742, -0.131603, 0.254871, -1.22204, -0.672754, 0.611022, 0.336377
0.128609, -0.553019, -0.0643046, 0.27651, -1.34596, -0.432772, 0.67298, 0.216386
-0.0122325, -0.56944, 0.00611623, 0.28472, -1.40842, -0.164204, 0.704208, 0.082102
-0.152486, -0.558466, 0.0762428, 0.279233, -1.40253, 0.109733, 0.701266, -0.0548667
-0.285753, -0.521907, 0.142876, 0.260953, -1.33267, 0.365599, 0.666335, -0.182799
-0.406962, -0.463324, 0.203481, 0.231662, -1.21209, 0.58582, 0.606047, -0.29291
-0.512746, -0.387181, 0.256373, 0.19359, -1.05784, 0.761437, 0.528921, -0.380718
-0.601347, -0.298062, 0.300674, 0.149031, -0.886007, 0.891191, 0.443003, -0.445596
-0.672267, -0.200179, 0.336134, 0.10009, -0.709204, 0.978825, 0.354602, -0.489412
-0.725873, -0.0971409, 0.362936, 0.0485704, -0.536054, 1.03038, 0.268027, -0.515192
-0.763051, 0.00809584, 0.381526, -0.00404792, -0.371782, 1.05237, 0.185891, -0.526184
-0.784965, 0.113171, 0.392483, -0.0565853, -0.219143, 1.05075, 0.109571, -0.525374
-0.792892, 0.216229, 0.396446, -0.108114, -0.0792665, 1.03058, 0.0396333, -0.515291
-0.788122, 0.315824, 0.394061, -0.157912, 0.0476998, 0.995956, -0.0238499, -0.497978
-0.771906, 0.410833, 0.385953, -0.205417, 0.162158, 0.95009, -0.0810788, -0.475045
-0.745428, 0.50038, 0.372714, -0.25019, 0.26478, 0.895471, -0.13239, -0.447736
-0.709794, 0.583781, 0.354897, -0.291891, 0.356342, 0.834009, -0.178171, -0.417004
-0.666032, 0.660497, 0.333016, -0.330248, 0.437624, 0.767157, -0.218812, -0.383578
-0.615096, 0.730099, 0.307548, -0.365049, 0.509358, 0.696018, -0.254679, -0.348009
-0.557876, 0.792242, 0.278938, -0.396121, 0.572198, 0.62143, -0.286099, -0.310715
-0.495205, 0.846644, 0.247603, -0.423322, 0.626708, 0.54402, -0.313354, -0.27201
-0.42787, 0.89307, 0.213935, -0.446535, 0.673358, 0.464264, -0.336679, -0.232132
-0.356617, 0.931322, 0.178309, -0.465661, 0.712522, 0.382518, -0.356261, -0.191259
-0.282169, 0.961227, 0.141085, -0.480614, 0.744483, 0.299051, -0.372241, -0.149526
-0.205226, 0.982634, 0.102613, -0.491317, 0.76943, 0.214065, -0.384715, -0.107033
-0.12648, 0.995405, 0.0632398, -0.497703, 0.787464, 0.127717, -0.393732, -0.0638587
-0.0466203, 0.999419, 0.0233102, -0.499709, 0.798593, 0.0401356, -0.399296, -0.0200678
0.0336527, 0.994562, -0.0168264, -0.497281, 0.802731, -0.0485669, -0.401365, 0.0242835
0.113622, 0.980735, -0.0568111, -0.490367, 0.799695, -0.138276, -0.399848, 0.0691382
0.192542, 0.957848, -0.0962711, -0.478924, 0.7892, -0.228862, -0.3946, 0.114431
0.269627, 0.925833, -0.134814, -0.462916, 0.770849, -0.320157, -0.385424, 0.160079
0.344039, 0.884639, -0.17202, -0.442319, 0.74412, -0.411938, -0.37206, 0.205969
0.414875, 0.83425, -0.207438, -0.417125, 0.708359, -0.50389, -0.35418, 0.251945
0.481151, 0.774692, -0.240576, -0.387346, 0.662764, -0.595574, -0.331382, 0.297787
0.541789, 0.706056, -0.270894, -0.353028, 0.606373, -0.686369, -0.303186, 0.343185
0.595594, 0.628515, -0.297797, -0.314258, 0.538053, -0.775404, -0.269026, 0.387702
0.641245, 0.542369, -0.320622, -0.271185, 0.456505, -0.861459, -0.228253, 0.430729
0.677273, 0.448085, -0.338637, -0.224043, 0.360287, -0.94284, -0.180144, 0.47142
0.702061, 0.346364, -0.35103, -0.173182, 0.247876, -1.01721, -0.123938, 0.508606
0.713841, 0.238226, -0.356921, -0.119113, 0.117804, -1.08138, -0.0589021, 0.540692
0.710733, 0.125119, -0.355367, -0.0625594, -0.0310822, -1.13107, 0.0155411, 0.565535
0.690815, 0.00905261, -0.345408, -0.0045263, -0.199176, -1.16066, 0.0995881, 0.580331
0.652276, -0.107258, -0.326138, 0.0536288, -0.38539, -1.1631, 0.192695, 0.581551
0.593665, -0.220267, -0.296832, 0.110134, -0.586116, -1.1301, 0.293058, 0.565048
0.514269, -0.325565, -0.257134, 0.162782, -0.793963, -1.05298, 0.396982, 0.526489
0.414599, -0.418029, -0.2073, 0.209014, -0.996693, -0.924637, 0.498346, 0.462319
0.296872, -0.492286, -0.148436, 0.246143, -1.17727, -0.742569, 0.588634, 0.371284
0.165256, -0.543509, -0.0826278, 0.271755, -1.31617, -0.512239, 0.658084, 0.256119
0.0256262, -0.56838, -0.0128131, 0.28419, -1.3963, -0.248708, 0.698148, 0.124354
-0.11524, -0.56582, 0.0576201, 0.28291, -1.40866, 0.0256056, 0.704332, -0.0128028
-0.250786, -0.537137, 0.125393, 0.268568, -1.35546, 0.28683, 0.67773, -0.143415
-0.375631, -0.485534, 0.187815, 0.242767, -1.24845, 0.516029, 0.624224, -0.258015
-0.486042, -0.415274, 0.243021, 0.207637, -1.10411, 0.702593, 0.552057, -0.351297
-0.579918, -0.330887, 0.289959, 0.165443, -0.938753, 0.843877, 0.469377, -0.421939
-0.656474, -0.236617, 0.328237, 0.118309, -0.765565, 0.942694, 0.382783, -0.471347
-0.715858, -0.136158, 0.357929, 0.0680791, -0.593836, 1.00459, 0.296918, -0.502296
-0.758796, -0.032571, 0.379398, 0.0162855, -0.429383, 1.03587, 0.214691, -0.517935
-0.786339, 0.0716769, 0.393169, -0.0358384, -0.275426, 1.04248, 0.137713, -0.52124
-0.799683, 0.174631, 0.399841, -0.0873153, -0.133443, 1.02954, 0.0667213, -0.514769
-0.800065, 0.274754, 0.400033, -0.137377, -0.00382486, 1.00123, 0.00191243, -0.500616
-0.7887, 0.370842, 0.39435, -0.185421, 0.113658, 0.960887, -0.0568288, -0.480443
-0.766744, 0.461952, 0.383372, -0.230976, 0.21956, 0.911092, -0.10978, -0.455546
