S,R,Z,Psi
0,0,0,0
0.01,9.99963e-05,7.49981e-07,0.00015
0.02,0.000199992,1.51495e-06,0.0003
0.03,0.000299988,2.29492e-06,0.000449999
0.04,0.000399984,3.08989e-06,0.000599999
0.05,0.00049998,3.89986e-06,0.000749998
0.06,0.000599976,4.72483e-06,0.000899998
0.07,0.000699971,5.56479e-06,0.00105
0.08,0.000799967,6.41976e-06,0.0012
0.09,0.000899962,7.28973e-06,0.00135
0.1,0.000999957,8.17469e-06,0.0015
0.11,0.00109995,9.07465e-06,0.00164999
0.12,0.00119995,9.98961e-06,0.00179999
0.13,0.00129994,1.09196e-05,0.00194999
0.14,0.00139994,1.18645e-05,0.00209999
0.15,0.00149993,1.28245e-05,0.00224999
0.16,0.00159993,1.37995e-05,0.00239999
0.17,0.00169992,1.47894e-05,0.00254999
0.18,0.00179991,1.57944e-05,0.00269999
0.19,0.00189991,1.68143e-05,0.00284999
0.2,0.0019999,1.78493e-05,0.00299998
0.21,0.00209989,1.88992e-05,0.00314998
0.22,0.00219989,1.99642e-05,0.00329998
0.23,0.00229988,2.10441e-05,0.00344998
0.24,0.00239987,2.21391e-05,0.00359998
0.25,0.00249987,2.3249e-05,0.00374998
0.26,0.00259986,2.4374e-05,0.00389997
0.27,0.00269985,2.55139e-05,0.00404997
0.28,0.00279984,2.66688e-05,0.00419997
0.29,0.00289984,2.78388e-05,0.00434997
0.3,0.00299983,2.90237e-05,0.00449997
0.31,0.00309982,3.02236e-05,0.00464996
0.32,0.00319981,3.14386e-05,0.00479996
0.33,0.0032998,3.26685e-05,0.00494996
0.34,0.0033998,3.39134e-05,0.00509996
0.35,0.00349979,3.51734e-05,0.00524995
0.36,0.00359978,3.64483e-05,0.00539995
0.37,0.00369977,3.77382e-05,0.00554995
0.38,0.00379976,3.90431e-05,0.00569995
0.39,0.00389975,4.03631e-05,0.00584994
0.4,0.00399974,4.1698e-05,0.00599994
0.41,0.00409973,4.30479e-05,0.00614994
0.42,0.00419972,4.44128e-05,0.00629994
0.43,0.00429971,4.57927e-05,0.00644993
0.44,0.0043997,4.71876e-05,0.00659993
0.45,0.00449969,4.85975e-05,0.00674993
0.46,0.00459968,5.00225e-05,0.00689992
0.47,0.00469966,5.14624e-05,0.00704992
0.48,0.00479965,5.29173e-05,0.00719992
0.49,0.00489964,5.43872e-05,0.00734991
0.5,0.00499963,5.58721e-05,0.00749991
0.51,0.00509962,5.73719e-05,0.00764991
0.52,0.0051996,5.88868e-05,0.0077999
0.53,0.00529959,6.04167e-05,0.0079499
0.54,0.00539958,6.19616e-05,0.0080999
0.55,0.00549957,6.35215e-05,0.00824989
0.56,0.00559955,6.50964e-05,0.00839989
0.57,0.00569954,6.66863e-05,0.00854988
0.58,0.00579953,6.82911e-05,0.00869988
0.59,0.00589951,6.9911e-05,0.00884988
0.6,0.0059995,7.15459e-05,0.00899987
0.61,0.00609948,7.31957e-05,0.00914987
0.62,0.00619947,7.48606e-05,0.00929986
0.63,0.00629945,7.65405e-05,0.00944986
0.64,0.00639944,7.82353e-05,0.00959985
0.65,0.00649942,7.99452e-05,0.00974985
0.66,0.00659941,8.167e-05,0.00989985
0.67,0.00669939,8.34099e-05,0.0100498
0.68,0.00679937,8.51647e-05,0.0101998
0.69,0.00689936,8.69346e-05,0.0103498
0.7,0.00699934,8.87194e-05,0.0104998
0.71,0.00709932,9.05192e-05,0.0106498
0.72,0.00719931,9.23341e-05,0.0107998
0.73,0.00729929,9.41639e-05,0.0109498
0.74,0.00739927,9.60087e-05,0.0110998
0.75,0.00749925,9.78685e-05,0.0112498
0.76,0.00759923,9.97434e-05,0.0113998
0.77,0.00769921,0.000101633,0.0115498
0.78,0.0077992,0.000103538,0.0116998
0.79,0.00789918,0.000105458,0.0118498
0.8,0.00799916,0.000107393,0.0119998
0.81,0.00809914,0.000109342,0.0121498
0.82,0.00819912,0.000111307,0.0122998
0.83,0.0082991,0.000113287,0.0124498
0.84,0.00839907,0.000115282,0.0125998
0.85,0.00849905,0.000117292,0.0127497
0.86,0.00859903,0.000119316,0.0128997
0.87,0.00869901,0.000121356,0.0130497
0.88,0.00879899,0.000123411,0.0131997
0.89,0.00889897,0.000125481,0.0133497
0.9,0.00899894,0.000127565,0.0134997
0.91,0.00909892,0.000129665,0.0136497
0.92,0.0091989,0.00013178,0.0137997
0.93,0.00929887,0.00013391,0.0139497
0.94,0.00939885,0.000136054,0.0140997
0.95,0.00949883,0.000138214,0.0142497
0.96,0.0095988,0.000140389,0.0143997
0.97,0.00969878,0.000142579,0.0145497
0.98,0.00979875,0.000144783,0.0146997
0.99,0.00989872,0.000147003,0.0148497
1,0.0099987,0.000149238,0.0149996
1.01,0.0100987,0.000151487,0.0151496
1.02,0.0101986,0.000153752,0.0152996
1.03,0.0102986,0.000156032,0.0154496
1.04,0.0103986,0.000158327,0.0155996
1.05,0.0104986,0.000160636,0.0157496
1.06,0.0105985,0.000162961,0.0158996
1.07,0.0106985,0.000165301,0.0160496
1.08,0.0107985,0.000167655,0.0161996
1.09,0.0108985,0.000170025,0.0163496
1.1,0.0109984,0.00017241,0.0164996
1.11,0.0110984,0.000174809,0.0166496
1.12,0.0111984,0.000177224,0.0167996
1.13,0.0112983,0.000179654,0.0169495
1.14,0.0113983,0.000182098,0.0170995
1.15,0.0114983,0.000184558,0.0172495
1.16,0.0115982,0.000187032,0.0173995
1.17,0.0116982,0.000189522,0.0175495
1.18,0.0117982,0.000192027,0.0176995
1.19,0.0118981,0.000194546,0.0178495
1.2,0.0119981,0.000197081,0.0179995
1.21,0.0120981,0.000199631,0.0181495
1.22,0.012198,0.000202195,0.0182995
1.23,0.012298,0.000204775,0.0184495
1.24,0.012398,0.000207369,0.0185995
1.25,0.0124979,0.000209979,0.0187494
1.26,0.0125979,0.000212603,0.0188994
1.27,0.0126979,0.000215243,0.0190494
1.28,0.0127978,0.000217898,0.0191994
1.29,0.0128978,0.000220567,0.0193494
1.3,0.0129978,0.000223252,0.0194994
1.31,0.0130977,0.000225951,0.0196494
1.32,0.0131977,0.000228666,0.0197994
1.33,0.0132976,0.000231395,0.0199494
1.34,0.0133976,0.00023414,0.0200994
1.35,0.0134976,0.000236899,0.0202494
1.36,0.0135975,0.000239674,0.0203993
1.37,0.0136975,0.000242463,0.0205493
1.38,0.0137974,0.000245268,0.0206993
1.39,0.0138974,0.000248087,0.0208493
1.4,0.0139974,0.000250922,0.0209993
1.41,0.0140973,0.000253771,0.0211493
1.42,0.0141973,0.000256636,0.0212993
1.43,0.0142972,0.000259515,0.0214493
1.44,0.0143972,0.000262409,0.0215993
1.45,0.0144972,0.000265319,0.0217492
1.46,0.0145971,0.000268243,0.0218992
1.47,0.0146971,0.000271183,0.0220492
1.48,0.014797,0.000274137,0.0221992
1.49,0.014897,0.000277106,0.0223492
1.5,0.0149969,0.000280091,0.0224992
1.51,0.0150969,0.00028309,0.0226492
