S,R,Z,Psi
0,0,0,0
0.01,0.0001,2.5e-08,4.99999e-06
0.02,0.0002,5.05e-08,9.99999e-06
0.03,0.0003,7.65e-08,1.5e-05
0.04,0.0004,1.03e-07,2e-05
0.05,0.0005,1.3e-07,2.5e-05
0.06,0.0006,1.575e-07,3e-05
0.07,0.0007,1.855e-07,3.5e-05
0.08,0.0008,2.14e-07,3.99999e-05
0.09,0.0009,2.43e-07,4.49999e-05
0.1,0.001,2.725e-07,4.99999e-05
0.11,0.0011,3.025e-07,5.49999e-05
0.12,0.0012,3.33e-07,5.99999e-05
0.13,0.0013,3.64e-07,6.49999e-05
0.14,0.0014,3.955e-07,6.99999e-05
0.15,0.0015,4.275e-07,7.49999e-05
0.16,0.0016,4.6e-07,7.99999e-05
0.17,0.0017,4.93e-07,8.49999e-05
0.18,0.0018,5.26499e-07,8.99998e-05
0.19,0.0019,5.60499e-07,9.49998e-05
0.2,0.002,5.94999e-07,9.99998e-05
0.21,0.0021,6.29999e-07,0.000105
0.22,0.0022,6.65499e-07,0.00011
0.23,0.0023,7.01499e-07,0.000115
0.24,0.0024,7.37999e-07,0.00012
0.25,0.0025,7.74999e-07,0.000125
0.26,0.0026,8.12499e-07,0.00013
0.27,0.0027,8.50499e-07,0.000135
0.28,0.0028,8.88999e-07,0.00014
0.29,0.0029,9.27999e-07,0.000145
0.3,0.003,9.67499e-07,0.00015
0.31,0.0031,1.0075e-06,0.000155
0.32,0.0032,1.048e-06,0.00016
0.33,0.0033,1.089e-06,0.000165
0.34,0.0034,1.1305e-06,0.00017
0.35,0.0035,1.1725e-06,0.000175
0.36,0.0036,1.215e-06,0.00018
0.37,0.0037,1.258e-06,0.000185
0.38,0.0038,1.3015e-06,0.00019
0.39,0.0039,1.3455e-06,0.000195
0.4,0.004,1.39e-06,0.0002
0.41,0.0041,1.435e-06,0.000204999
0.42,0.0042,1.4805e-06,0.000209999
0.43,0.0043,1.5265e-06,0.000214999
0.44,0.0044,1.573e-06,0.000219999
0.45,0.0045,1.62e-06,0.000224999
0.46,0.0046,1.6675e-06,0.000229999
0.47,0.0047,1.7155e-06,0.000234999
0.48,0.0048,1.764e-06,0.000239999
0.49,0.0049,1.813e-06,0.000244999
0.5,0.005,1.8625e-06,0.000249999
0.51,0.0051,1.9125e-06,0.000254999
0.52,0.0052,1.963e-06,0.000259999
0.53,0.0053,2.014e-06,0.000264999
0.54,0.0054,2.0655e-06,0.000269999
0.55,0.0055,2.1175e-06,0.000274999
0.56,0.0056,2.17e-06,0.000279999
0.57,0.0057,2.223e-06,0.000284999
0.58,0.0058,2.27649e-06,0.000289999
0.59,0.0059,2.33049e-06,0.000294999
0.6,0.006,2.38499e-06,0.000299999
0.61,0.0061,2.43999e-06,0.000304999
0.62,0.0062,2.49549e-06,0.000309999
0.63,0.0063,2.55149e-06,0.000314999
0.64,0.0064,2.60799e-06,0.000319999
0.65,0.0065,2.66499e-06,0.000324999
0.66,0.0066,2.72249e-06,0.000329999
0.67,0.0067,2.78049e-06,0.000334999
0.68,0.0068,2.83899e-06,0.000339999
0.69,0.0069,2.89799e-06,0.000344999
0.7,0.007,2.95749e-06,0.000349999
0.71,0.0071,3.01749e-06,0.000354999
0.72,0.0072,3.07799e-06,0.000359999
0.73,0.0073,3.13899e-06,0.000364999
0.74,0.0074,3.20049e-06,0.000369999
0.75,0.0075,3.26249e-06,0.000374999
0.76,0.0076,3.32499e-06,0.000379998
0.77,0.0077,3.38799e-06,0.000384998
0.78,0.0078,3.45149e-06,0.000389998
0.79,0.0079,3.51549e-06,0.000394998
0.8,0.008,3.57999e-06,0.000399998
0.81,0.0081,3.64499e-06,0.000404998
0.82,0.0082,3.71049e-06,0.000409998
0.83,0.0083,3.77649e-06,0.000414998
0.84,0.0084,3.84299e-06,0.000419998
0.85,0.0085,3.90999e-06,0.000424998
0.86,0.0086,3.97749e-06,0.000429998
0.87,0.0087,4.04549e-06,0.000434998
0.88,0.0088,4.11399e-06,0.000439998
0.89,0.0089,4.18299e-06,0.000444998
0.9,0.009,4.25249e-06,0.000449998
0.91,0.0091,4.32249e-06,0.000454998
0.92,0.0092,4.39298e-06,0.000459998
0.93,0.0093,4.46398e-06,0.000464998
0.94,0.0094,4.53548e-06,0.000469998
0.95,0.0095,4.60748e-06,0.000474998
0.96,0.0096,4.67998e-06,0.000479998
0.97,0.0097,4.75298e-06,0.000484998
0.98,0.0098,4.82648e-06,0.000489998
0.99,0.0099,4.90048e-06,0.000494997
1,0.01,4.97498e-06,0.000499997
1.01,0.0101,5.04998e-06,0.000504997
1.02,0.0102,5.12548e-06,0.000509997
1.03,0.0103,5.20148e-06,0.000514997
1.04,0.0104,5.27798e-06,0.000519997
1.05,0.0105,5.35498e-06,0.000524997
1.06,0.0106,5.43248e-06,0.000529997
1.07,0.0107,5.51048e-06,0.000534997
