S,R,Z,Psi
0,0,0,0
0.01,9.99937e-05,9.74958e-07,0.000195
0.02,0.000199987,1.96939e-06,0.000389999
0.03,0.00029998,2.98333e-06,0.000584999
0.04,0.000399973,4.01676e-06,0.000779998
0.05,0.000499966,5.06969e-06,0.000974997
0.06,0.000599959,6.14212e-06,0.00117
0.07,0.000699951,7.23405e-06,0.001365
0.08,0.000799944,8.34548e-06,0.00155999
0.09,0.000899936,9.4764e-06,0.00175499
0.1,0.000999928,1.06268e-05,0.00194999
0.11,0.00109992,1.17967e-05,0.00214499
0.12,0.00119991,1.29862e-05,0.00233999
0.13,0.0012999,1.41951e-05,0.00253499
0.14,0.00139989,1.54235e-05,0.00272998
0.15,0.00149988,1.66714e-05,0.00292498
0.16,0.00159987,1.79388e-05,0.00311998
0.17,0.00169986,1.92257e-05,0.00331498
0.18,0.00179985,2.05321e-05,0.00350998
0.19,0.00189984,2.1858e-05,0.00370497
0.2,0.00199983,2.32034e-05,0.00389997
0.21,0.00209982,2.45683e-05,0.00409497
0.22,0.00219981,2.59527e-05,0.00428996
0.23,0.0022998,2.73566e-05,0.00448496
0.24,0.00239979,2.878e-05,0.00467996
0.25,0.00249978,3.02228e-05,0.00487495
0.26,0.00259976,3.16852e-05,0.00506995
0.27,0.00269975,3.31671e-05,0.00526495
0.28,0.00279974,3.46685e-05,0.00545994
0.29,0.00289972,3.61893e-05,0.00565494
0.3,0.00299971,3.77297e-05,0.00584993
0.31,0.0030997,3.92896e-05,0.00604493
0.32,0.00319968,4.08689e-05,0.00623993
0.33,0.00329967,4.24678e-05,0.00643492
0.34,0.00339965,4.40861e-05,0.00662992
0.35,0.00349964,4.5724e-05,0.00682491
0.36,0.00359962,4.73813e-05,0.00701991
0.37,0.00369961,4.90581e-05,0.0072149
0.38,0.00379959,5.07545e-05,0.0074099
0.39,0.00389958,5.24703e-05,0.00760489
0.4,0.00399956,5.42056e-05,0.00779989
0.41,0.00409954,5.59605e-05,0.00799488
0.42,0.00419952,5.77348e-05,0.00818987
0.43,0.00429951,5.95286e-05,0.00838487
0.44,0.00439949,6.13419e-05,0.00857986
0.45,0.00449947,6.31747e-05,0.00877486
0.46,0.00459945,6.5027e-05,0.00896985
0.47,0.00469943,6.68988e-05,0.00916484
0.48,0.00479941,6.87901e-05,0.00935984
0.49,0.00489939,7.07008e-05,0.00955483
0.5,0.00499937,7.26311e-05,0.00974982
0.51,0.00509935,7.45809e-05,0.00994482
0.52,0.00519933,7.65502e-05,0.0101398
0.53,0.00529931,7.85389e-05,0.0103348
0.54,0.00539929,8.05472e-05,0.0105298
0.55,0.00549927,8.25749e-05,0.0107248
0.56,0.00559924,8.46222e-05,0.0109198
0.57,0.00569922,8.66889e-05,0.0111148
0.58,0.0057992,8.87751e-05,0.0113098
0.59,0.00589917,9.08809e-05,0.0115048
0.6,0.00599915,9.30061e-05,0.0116997
0.61,0.00609913,9.51508e-05,0.0118947
0.62,0.0061991,9.7315e-05,0.0120897
0.63,0.00629907,9.94987e-05,0.0122847
0.64,0.00639905,0.000101702,0.0124797
0.65,0.00649902,0.000103925,0.0126747
0.66,0.006599,0.000106167,0.0128697
0.67,0.00669897,0.000108428,0.0130647
0.68,0.00679894,0.00011071,0.0132597
0.69,0.00689891,0.00011301,0.0134547
0.7,0.00699888,0.00011533,0.0136497
0.71,0.00709886,0.00011767,0.0138446
0.72,0.00719883,0.000120029,0.0140396
0.73,0.0072988,0.000122408,0.0142346
0.74,0.00739877,0.000124806,0.0144296
0.75,0.00749874,0.000127224,0.0146246
0.76,0.0075987,0.000129661,0.0148196
0.77,0.00769867,0.000132117,0.0150146
0.78,0.00779864,0.000134593,0.0152096
0.79,0.00789861,0.000137089,0.0154046
0.8,0.00799857,0.000139604,0.0155995
0.81,0.00809854,0.000142139,0.0157945
0.82,0.00819851,0.000144693,0.0159895
0.83,0.00829847,0.000147266,0.0161845
0.84,0.00839844,0.000149859,0.0163795
0.85,0.0084984,0.000152472,0.0165745
0.86,0.00859836,0.000155104,0.0167695
0.87,0.00869833,0.000157755,0.0169645
0.88,0.00879829,0.000160426,0.0171595
0.89,0.00889825,0.000163117,0.0173544
0.9,0.00899821,0.000165827,0.0175494
0.91,0.00909818,0.000168556,0.0177444
0.92,0.00919814,0.000171305,0.0179394
0.93,0.0092981,0.000174074,0.0181344
0.94,0.00939806,0.000176862,0.0183294
0.95,0.00949801,0.000179669,0.0185244
0.96,0.00959797,0.000182496,0.0187193
0.97,0.00969793,0.000185342,0.0189143
0.98,0.00979789,0.000188208,0.0191093
0.99,0.00989784,0.000191094,0.0193043
1,0.0099978,0.000193999,0.0194993
1.01,0.0100978,0.000196923,0.0196943
1.02,0.0101977,0.000199867,0.0198893
1.03,0.0102977,0.00020283,0.0200843
1.04,0.0103976,0.000205813,0.0202792
1.05,0.0104976,0.000208815,0.0204742
1.06,0.0105975,0.000211837,0.0206692
1.07,0.0106975,0.000214878,0.0208642
1.08,0.0107974,0.000217939,0.0210592
1.09,0.0108974,0.00022102,0.0212542
1.1,0.0109973,0.000224119,0.0214491
1.11,0.0110973,0.000227239,0.0216441
1.12,0.0111972,0.000230377,0.0218391
1.13,0.0112972,0.000233536,0.0220341
1.14,0.0113971,0.000236713,0.0222291
1.15,0.0114971,0.000239911,0.0224241
1.16,0.011597,0.000243127,0.022619
1.17,0.011697,0.000246363,0.022814
1.18,0.0117969,0.000249619,0.023009
1.19,0.0118969,0.000252894,0.023204
1.2,0.0119968,0.000256189,0.023399
1.21,0.0120967,0.000259503,0.023594
1.22,0.0121967,0.000262837,0.0237889
1.23,0.0122966,0.00026619,0.0239839
1.24,0.0123966,0.000269562,0.0241789
1.25,0.0124965,0.000272954,0.0243739
1.26,0.0125965,0.000276366,0.0245689
1.27,0.0126964,0.000279797,0.0247639
1.28,0.0127963,0.000283248,0.0249588
1.29,0.0128963,0.000286718,0.0251538
