S,R,Z,Psi
0,0,0,0
0.01,9.99991e-05,3.74997e-07,7.49999e-05
0.02,0.000199998,7.57494e-07,0.00015
0.03,0.000299997,1.14749e-06,0.000225
0.04,0.000399996,1.54499e-06,0.0003
0.05,0.000499995,1.94998e-06,0.000374999
0.06,0.000599994,2.36248e-06,0.000449999
0.07,0.000699993,2.78247e-06,0.000524999
0.08,0.000799992,3.20997e-06,0.000599999
0.09,0.00089999,3.64496e-06,0.000674999
0.1,0.000999989,4.08746e-06,0.000749999
0.11,0.00109999,4.53745e-06,0.000824998
0.12,0.00119999,4.99495e-06,0.000899998
0.13,0.00129999,5.45994e-06,0.000974998
0.14,0.00139998,5.93244e-06,0.00105
0.15,0.00149998,6.41243e-06,0.001125
0.16,0.00159998,6.89993e-06,0.0012
0.17,0.00169998,7.39492e-06,0.001275
0.18,0.00179998,7.89741e-06,0.00135
0.19,0.00189998,8.40741e-06,0.001425
0.2,0.00199998,8.9249e-06,0.0015
0.21,0.00209997,9.4499e-06,0.001575
0.22,0.00219997,9.98239e-06,0.00165
0.23,0.00229997,1.05224e-05,0.00172499
0.24,0.00239997,1.10699e-05,0.00179999
0.25,0.00249997,1.16249e-05,0.00187499
0.26,0.00259996,1.21874e-05,0.00194999
0.27,0.00269996,1.27574e-05,0.00202499
0.28,0.00279996,1.33348e-05,0.00209999
0.29,0.00289996,1.39198e-05,0.00217499
0.3,0.00299996,1.45123e-05,0.00224999
0.31,0.00309996,1.51123e-05,0.00232499
0.32,0.00319995,1.57198e-05,0.00239999
0.33,0.00329995,1.63348e-05,0.00247499
0.34,0.00339995,1.69573e-05,0.00254999
0.35,0.00349995,1.75873e-05,0.00262499
0.36,0.00359994,1.82248e-05,0.00269999
0.37,0.00369994,1.88698e-05,0.00277499
0.38,0.00379994,1.95222e-05,0.00284999
0.39,0.00389994,2.01822e-05,0.00292499
0.4,0.00399993,2.08497e-05,0.00299999
0.41,0.00409993,2.15247e-05,0.00307499
0.42,0.00419993,2.22072e-05,0.00314999
0.43,0.00429993,2.28972e-05,0.00322499
0.44,0.00439992,2.35947e-05,0.00329998
0.45,0.00449992,2.42997e-05,0.00337498
0.46,0.00459992,2.50121e-05,0.00344998
0.47,0.00469992,2.57321e-05,0.00352498
0.48,0.00479991,2.64596e-05,0.00359998
0.49,0.00489991,2.71946e-05,0.00367498
0.5,0.00499991,2.79371e-05,0.00374998
0.51,0.0050999,2.86871e-05,0.00382498
0.52,0.0051999,2.94446e-05,0.00389998
0.53,0.0052999,3.02095e-05,0.00397498
0.54,0.00539989,3.0982e-05,0.00404998
0.55,0.00549989,3.1762e-05,0.00412498
0.56,0.00559989,3.25495e-05,0.00419998
0.57,0.00569988,3.33445e-05,0.00427498
0.58,0.00579988,3.4147e-05,0.00434997
0.59,0.00589988,3.49569e-05,0.00442497
0.6,0.00599987,3.57744e-05,0.00449997
0.61,0.00609987,3.65994e-05,0.00457497
0.62,0.00619987,3.74319e-05,0.00464997
0.63,0.00629986,3.82719e-05,0.00472497
0.64,0.00639986,3.91193e-05,0.00479997
0.65,0.00649986,3.99743e-05,0.00487497
0.66,0.00659985,4.08368e-05,0.00494997
0.67,0.00669985,4.17068e-05,0.00502497
0.68,0.00679984,4.25843e-05,0.00509997
0.69,0.00689984,4.34692e-05,0.00517496
0.7,0.00699983,4.43617e-05,0.00524996
0.71,0.00709983,4.52617e-05,0.00532496
0.72,0.00719983,4.61692e-05,0.00539996
0.73,0.00729982,4.70841e-05,0.00547496
0.74,0.00739982,4.80066e-05,0.00554996
0.75,0.00749981,4.89366e-05,0.00562496
0.76,0.00759981,4.98741e-05,0.00569996
0.77,0.0076998,5.0819e-05,0.00577496
0.78,0.0077998,5.17715e-05,0.00584996
0.79,0.00789979,5.27315e-05,0.00592495
0.8,0.00799979,5.3699e-05,0.00599995
0.81,0.00809978,5.46739e-05,0.00607495
0.82,0.00819978,5.56564e-05,0.00614995
0.83,0.00829977,5.66464e-05,0.00622495
0.84,0.00839977,5.76438e-05,0.00629995
0.85,0.00849976,5.86488e-05,0.00637495
0.86,0.00859976,5.96613e-05,0.00644995
0.87,0.00869975,6.06812e-05,0.00652494
0.88,0.00879975,6.17087e-05,0.00659994
0.89,0.00889974,6.27437e-05,0.00667494
0.9,0.00899974,6.37861e-05,0.00674994
0.91,0.00909973,6.48361e-05,0.00682494
0.92,0.00919972,6.58936e-05,0.00689994
0.93,0.00929972,6.69585e-05,0.00697494
0.94,0.00939971,6.8031e-05,0.00704994
0.95,0.00949971,6.9111e-05,0.00712493
0.96,0.0095997,7.01984e-05,0.00719993
0.97,0.00969969,7.12934e-05,0.00727493
0.98,0.00979969,7.23958e-05,0.00734993
0.99,0.00989968,7.35058e-05,0.00742493
