S,R,Z,Psi
1.4,0.0139958,0.000317813,0.0265987
1.41,0.0140957,0.000321422,0.0267887
1.42,0.0141956,0.00032505,0.0269787
1.43,0.0142956,0.000328697,0.0271686
1.44,0.0143955,0.000332363,0.0273586
1.45,0.0144954,0.000336048,0.0275486
1.46,0.0145954,0.000339752,0.0277386
1.47,0.0146953,0.000343474,0.0279286
1.48,0.0147952,0.000347216,0.0281185
1.49,0.0148951,0.000350977,0.0283085
1.5,0.0149951,0.000354757,0.0284985
1.51,0.015095,0.000358556,0.0286885
1.52,0.0151949,0.000362373,0.0288785
1.53,0.0152948,0.00036621,0.0290684
1.54,0.0153948,0.000370066,0.0292584
1.55,0.0154947,0.00037394,0.0294484
1.56,0.0155946,0.000377834,0.0296384
1.57,0.0156945,0.000381747,0.0298284
1.58,0.0157945,0.000385678,0.0300183
1.59,0.0158944,0.000389629,0.0302083
1.6,0.0159943,0.000393599,0.0303983
1.61,0.0160942,0.000397587,0.0305883
1.62,0.0161941,0.000401595,0.0307782
1.63,0.0162941,0.000405621,0.0309682
1.64,0.016394,0.000409667,0.0311582
1.65,0.0164939,0.000413731,0.0313482
1.66,0.0165938,0.000417815,0.0315382
1.67,0.0166937,0.000421917,0.0317281
1.68,0.0167936,0.000426039,0.0319181
1.69,0.0168935,0.000430179,0.0321081
1.7,0.0169935,0.000434339,0.0322981
1.71,0.0170934,0.000438517,0.032488
1.72,0.0171933,0.000442714,0.032678
1.73,0.0172932,0.000446931,0.032868
1.74,0.0173931,0.000451166,0.033058
1.75,0.017493,0.00045542,0.0332479
1.76,0.0175929,0.000459694,0.0334379
1.77,0.0176928,0.000463986,0.0336279
1.78,0.0177927,0.000468297,0.0338179
1.79,0.0178926,0.000472627,0.0340079
1.8,0.0179925,0.000476977,0.0341978
1.81,0.0180924,0.000481345,0.0343878
1.82,0.0181923,0.000485732,0.0345778
1.83,0.0182922,0.000490138,0.0347678
1.84,0.0183921,0.000494563,0.0349577
1.85,0.018492,0.000499007,0.0351477
1.86,0.0185919,0.00050347,0.0353377
1.87,0.0186918,0.000507952,0.0355277
1.88,0.0187917,0.000512454,0.0357176
1.89,0.0188916,0.000516974,0.0359076
1.9,0.0189915,0.000521513,0.0360976
1.91,0.0190914,0.00052607,0.0362875
1.92,0.0191913,0.000530647,0.0364775
1.93,0.0192912,0.000535243,0.0366675
1.94,0.0193911,0.000539858,0.0368575
1.95,0.019491,0.000544492,0.0370474
1.96,0.0195909,0.000549145,0.0372374
1.97,0.0196908,0.000553817,0.0374274
1.98,0.0197907,0.000558508,0.0376174
1.99,0.0198905,0.000563217,0.0378073
2,0.0199904,0.000567946,0.0379973
2.01,0.0200903,0.000572694,0.0381873
2.02,0.0201902,0.00057746,0.0383772
2.03,0.0202901,0.000582246,0.0385672
2.04,0.02039,0.000587051,0.0387572
2.05,0.0204898,0.000591874,0.0389472
2.06,0.0205897,0.000596717,0.0391371
2.07,0.0206896,0.000601579,0.0393271
2.08,0.0207895,0.000606459,0.0395171
2.09,0.0208894,0.000611359,0.039707
2.1,0.0209892,0.000616277,0.039897
2.11,0.0210891,0.000621215,0.040087
2.12,0.021189,0.000626171,0.040277
2.13,0.0212889,0.000631146,0.0404669
2.14,0.0213887,0.000636141,0.0406569
2.15,0.0214886,0.000641154,0.0408469
2.16,0.0215885,0.000646186,0.0410368
2.17,0.0216884,0.000651238,0.0412268
2.18,0.0217882,0.000656308,0.0414168
2.19,0.0218881,0.000661397,0.0416067
2.2,0.021988,0.000666505,0.0417967
2.21,0.0220878,0.000671633,0.0419867
2.22,0.0221877,0.000676779,0.0421767
2.23,0.0222876,0.000681944,0.0423666
2.24,0.0223874,0.000687128,0.0425566
2.25,0.0224873,0.000692331,0.0427466
2.26,0.0225872,0.000697553,0.0429365
2.27,0.022687,0.000702794,0.0431265
2.28,0.0227869,0.000708054,0.0433165
2.29,0.0228867,0.000713333,0.0435064
2.3,0.0229866,0.000718631,0.0436964
2.31,0.0230865,0.000723948,0.0438864
2.32,0.0231863,0.000729283,0.0440763
2.33,0.0232862,0.000734638,0.0442663
2.34,0.023386,0.000740012,0.0444563
2.35,0.0234859,0.000745405,0.0446462
2.36,0.0235857,0.000750817,0.0448362
2.37,0.0236856,0.000756247,0.0450262
2.38,0.0237854,0.000761697,0.0452161
2.39,0.0238853,0.000767165,0.0454061
2.4,0.0239851,0.000772653,0.0455961
2.41,0.024085,0.00077816,0.045786
2.42,0.0241848,0.000783685,0.045976
2.43,0.0242847,0.00078923,0.046166
2.44,0.0243845,0.000794793,0.0463559
2.45,0.0244843,0.000800375,0.0465459
2.46,0.0245842,0.000805977,0.0467359
2.47,0.024684,0.000811597,0.0469258
2.48,0.0247839,0.000817237,0.0471158
2.49,0.0248837,0.000822895,0.0473058
2.5,0.0249835,0.000828572,0.0474957
2.51,0.0250834,0.000834268,0.0476857
2.52,0.0251832,0.000839983,0.0478756
2.53,0.025283,0.000845718,0.0480656
2.54,0.0253829,0.000851471,0.0482556
2.55,0.0254827,0.000857243,0.0484455
2.56,0.0255825,0.000863034,0.0486355
2.57,0.0256824,0.000868844,0.0488255
2.58,0.0257822,0.000874673,0.0490154
2.59,0.025882,0.000880521,0.0492054
2.6,0.0259819,0.000886387,0.0493954
2.61,0.0260817,0.000892273,0.0495853
2.62,0.0261815,0.000898178,0.0497753
2.63,0.0262813,0.000904102,0.0499652
2.64,0.0263811,0.000910045,0.0501552
2.65,0.026481,0.000916006,0.0503452
2.66,0.0265808,0.000921987,0.0505351
2.67,0.0266806,0.000927987,0.0507251
2.68,0.0267804,0.000934005,0.0509151
2.69,0.0268802,0.000940043,0.051105
2.7,0.0269801,0.000946099,0.051295
2.71,0.0270799,0.000952175,0.0514849
2.72,0.0271797,0.000958269,0.0516749
2.73,0.0272795,0.000964382,0.0518649
2.74,0.0273793,0.000970515,0.0520548
2.75,0.0274791,0.000976666,0.0522448
2.76,0.0275789,0.000982836,0.0524347
2.77,0.0276787,0.000989025,0.0526247
2.78,0.0277785,0.000995234,0.0528147
2.79,0.0278783,0.00100146,0.0530046
2.8,0.0279781,0.00100771,0.0531946
2.81,0.0280779,0.00101397,0.0533845
2.82,0.0281777,0.00102026,0.0535745
2.83,0.0282775,0.00102656,0.0537645
2.84,0.0283773,0.00103288,0.0539544
2.85,0.0284771,0.00103922,0.0541444
2.86,0.0285769,0.00104558,0.0543343
2.87,0.0286767,0.00105196,0.0545243
2.88,0.0287765,0.00105836,0.0547142
2.89,0.0288763,0.00106477,0.0549042
2.9,0.0289761,0.00107121,0.0550942
2.91,0.0290759,0.00107766,0.0552841
2.92,0.0291757,0.00108414,0.0554741
2.93,0.0292755,0.00109063,0.055664
2.94,0.0293753,0.00109714,0.055854
2.95,0.029475,0.00110367,0.056044
2.96,0.0295748,0.00111022,0.0562339
2.97,0.0296746,0.00111679,0.0564239
2.98,0.0297744,0.00112338,0.0566138
2.99,0.0298742,0.00112998,0.0568038
3,0.0299739,0.00113661,0.0569937
3.01,0.0300737,0.00114325,0.0571837
3.02,0.0301735,0.00114992,0.0573736
3.03,0.0302733,0.0011566,0.0575636
3.04,0.030373,0.0011633,0.0577536
3.05,0.0304728,0.00117002,0.0579435
3.06,0.0305726,0.00117676,0.0581335
3.07,0.0306724,0.00118352,0.0583234
3.08,0.0307721,0.00119029,0.0585134
3.09,0.0308719,0.00119709,0.0587033
3.1,0.0309717,0.0012039,0.0588933
3.11,0.0310714,0.00121074,0.0590832
3.12,0.0311712,0.00121759,0.0592732
3.13,0.031271,0.00122446,0.0594632
3.14,0.0313707,0.00123135,0.0596531
3.15,0.0314705,0.00123826,0.0598431
3.16,0.0315702,0.00124519,0.060033
3.17,0.03167,0.00125214,0.060223
3.18,0.0317697,0.0012591,0.0604129
3.19,0.0318695,0.00126609,0.0606029
3.2,0.0319693,0.00127309,0.0607928
3.21,0.032069,0.00128012,0.0609828
3.22,0.0321688,0.00128716,0.0611727
3.23,0.0322685,0.00129422,0.0613627
3.24,0.0323683,0.0013013,0.0615526
3.25,0.032468,0.0013084,0.0617426
3.26,0.0325677,0.00131552,0.0619325
3.27,0.0326675,0.00132265,0.0621225
3.28,0.0327672,0.00132981,0.0623124
3.29,0.032867,0.00133698,0.0625024
3.3,0.0329667,0.00134418,0.0626923
3.31,0.0330664,0.00135139,0.0628823
3.32,0.0331662,0.00135862,0.0630722
3.33,0.0332659,0.00136587,0.0632622
3.34,0.0333657,0.00137314,0.0634521
3.35,0.0334654,0.00138043,0.0636421
3.36,0.0335651,0.00138774,0.0638321
3.37,0.0336648,0.00139506,0.064022
3.38,0.0337646,0.00140241,0.064212
3.39,0.0338643,0.00140977,0.0644019
3.4,0.033964,0.00141716,0.0645918
3.41,0.0340638,0.00142456,0.0647818
3.42,0.0341635,0.00143198,0.0649717
3.43,0.0342632,0.00143942,0.0651617
3.44,0.0343629,0.00144688,0.0653516
3.45,0.0344626,0.00145435,0.0655416
3.46,0.0345624,0.00146185,0.0657315
3.47,0.0346621,0.00146937,0.0659215
3.48,0.0347618,0.0014769,0.0661114
3.49,0.0348615,0.00148446,0.0663014
3.5,0.0349612,0.00149203,0.0664913
3.51,0.0350609,0.00149962,0.0666813
3.52,0.0351606,0.00150723,0.0668712
3.53,0.0352603,0.00151486,0.0670612
3.54,0.03536,0.00152251,0.0672511
3.55,0.0354597,0.00153017,0.0674411
3.56,0.0355594,0.00153786,0.067631
3.57,0.0356591,0.00154557,0.067821
3.58,0.0357588,0.00155329,0.0680109
3.59,0.0358585,0.00156103,0.0682009
3.6,0.0359582,0.00156879,0.0683908
3.61,0.0360579,0.00157658,0.0685807
3.62,0.0361576,0.00158437,0.0687707
3.63,0.0362573,0.00159219,0.0689606
3.64,0.036357,0.00160003,0.0691506
3.65,0.0364567,0.00160789,0.0693405
3.66,0.0365564,0.00161576,0.0695305
3.67,0.0366561,0.00162366,0.0697204
3.68,0.0367558,0.00163157,0.0699104
3.69,0.0368554,0.0016395,0.0701003
3.7,0.0369551,0.00164745,0.0702903
3.71,0.0370548,0.00165542,0.0704802
3.72,0.0371545,0.00166341,0.0706701
3.73,0.0372542,0.00167142,0.0708601
3.74,0.0373538,0.00167945,0.07105
3.75,0.0374535,0.00168749,0.07124
3.76,0.0375532,0.00169556,0.0714299
3.77,0.0376529,0.00170364,0.0716199
3.78,0.0377525,0.00171175,0.0718098
3.79,0.0378522,0.00171987,0.0719997
3.8,0.0379519,0.00172801,0.0721897
3.81,0.0380515,0.00173617,0.0723796
3.82,0.0381512,0.00174435,0.0725696
3.83,0.0382509,0.00175254,0.0727595
3.84,0.0383505,0.00176076,0.0729495
3.85,0.0384502,0.00176899,0.0731394
3.86,0.0385498,0.00177725,0.0733293
3.87,0.0386495,0.00178552,0.0735193
3.88,0.0387491,0.00179381,0.0737092
3.89,0.0388488,0.00180212,0.0738992
3.9,0.0389484,0.00181045,0.0740891
3.91,0.0390481,0.0018188,0.074279
3.92,0.0391477,0.00182717,0.074469
3.93,0.0392474,0.00183556,0.0746589
3.94,0.039347,0.00184396,0.0748489
3.95,0.0394467,0.00185239,0.0750388
3.96,0.0395463,0.00186083,0.0752287
3.97,0.039646,0.00186929,0.0754187
3.98,0.0397456,0.00187777,0.0756086
3.99,0.0398452,0.00188627,0.0757986
4,0.0399449,0.00189479,0.0759885
4.01,0.0400445,0.00190333,0.0761784
4.02,0.0401441,0.00191189,0.0763684
4.03,0.0402438,0.00192046,0.0765583
4.04,0.0403434,0.00192906,0.0767483
4.05,0.040443,0.00193767,0.0769382
4.06,0.0405426,0.00194631,0.0771281
4.07,0.0406423,0.00195496,0.0773181
4.08,0.0407419,0.00196363,0.077508
4.09,0.0408415,0.00197232,0.0776979
4.1,0.0409411,0.00198102,0.0778879
4.11,0.0410407,0.00198975,0.0780778
4.12,0.0411404,0.0019985,0.0782678
4.13,0.04124,0.00200726,0.0784577
4.14,0.0413396,0.00201605,0.0786476
4.15,0.0414392,0.00202485,0.0788376
4.16,0.0415388,0.00203367,0.0790275
4.17,0.0416384,0.00204251,0.0792174
4.18,0.041738,0.00205137,0.0794074
4.19,0.0418376,0.00206025,0.0795973
4.2,0.0419372,0.00206915,0.0797872
4.21,0.0420368,0.00207806,0.0799772
4.22,0.0421364,0.002087,0.0801671
4.23,0.042236,0.00209595,0.080357
4.24,0.0423356,0.00210493,0.080547
4.25,0.0424352,0.00211392,0.0807369
4.26,0.0425348,0.00212293,0.0809268
4.27,0.0426344,0.00213196,0.0811168
4.28,0.042734,0.00214101,0.0813067
4.29,0.0428336,0.00215008,0.0814966
4.3,0.0429331,0.00215916,0.0816866
4.31,0.0430327,0.00216827,0.0818765
4.32,0.0431323,0.00217739,0.0820664
4.33,0.0432319,0.00218654,0.0822564
4.34,0.0433315,0.0021957,0.0824463
4.35,0.043431,0.00220488,0.0826362
4.36,0.0435306,0.00221408,0.0828262
4.37,0.0436302,0.0022233,0.0830161
4.38,0.0437298,0.00223254,0.083206
4.39,0.0438293,0.00224179,0.083396
4.4,0.0439289,0.00225107,0.0835859
4.41,0.0440285,0.00226036,0.0837758
4.42,0.044128,0.00226968,0.0839658
4.43,0.0442276,0.00227901,0.0841557
4.44,0.0443271,0.00228836,0.0843456
4.45,0.0444267,0.00229773,0.0845356
4.46,0.0445263,0.00230712,0.0847255
4.47,0.0446258,0.00231653,0.0849154
4.48,0.0447254,0.00232596,0.0851054
4.49,0.0448249,0.0023354,0.0852953
4.5,0.0449245,0.00234487,0.0854852
4.51,0.045024,0.00235435,0.0856751
4.52,0.0451236,0.00236385,0.0858651
4.53,0.0452231,0.00237338,0.086055
4.54,0.0453226,0.00238292,0.0862449
4.55,0.0454222,0.00239248,0.0864349
4.56,0.0455217,0.00240205,0.0866248
4.57,0.0456213,0.00241165,0.0868147
4.58,0.0457208,0.00242127,0.0870046
4.59,0.0458203,0.0024309,0.0871946
4.6,0.0459199,0.00244056,0.0873845
4.61,0.0460194,0.00245023,0.0875744
4.62,0.0461189,0.00245992,0.0877644
4.63,0.0462184,0.00246963,0.0879543
4.64,0.046318,0.00247936,0.0881442
4.65,0.0464175,0.00248911,0.0883341
4.66,0.046517,0.00249888,0.0885241
4.67,0.0466165,0.00250866,0.088714
4.68,0.0467161,0.00251847,0.0889039
4.69,0.0468156,0.00252829,0.0890938
4.7,0.0469151,0.00253813,0.0892838
4.71,0.0470146,0.002548,0.0894737
4.72,0.0471141,0.00255788,0.0896636
4.73,0.0472136,0.00256778,0.0898535
4.74,0.0473131,0.00257769,0.0900435
4.75,0.0474126,0.00258763,0.0902334
4.76,0.0475121,0.00259759,0.0904233
4.77,0.0476116,0.00260756,0.0906132
4.78,0.0477111,0.00261756,0.0908032
4.79,0.0478106,0.00262757,0.0909931
4.8,0.0479101,0.0026376,0.091183
4.81,0.0480096,0.00264765,0.0913729
4.82,0.0481091,0.00265772,0.0915629
4.83,0.0482086,0.00266781,0.0917528
4.84,0.0483081,0.00267792,0.0919427
4.85,0.0484075,0.00268804,0.0921326
4.86,0.048507,0.00269819,0.0923226
4.87,0.0486065,0.00270835,0.0925125
4.88,0.048706,0.00271854,0.0927024
4.89,0.0488055,0.00272874,0.0928923
4.9,0.0489049,0.00273896,0.0930822
4.91,0.0490044,0.0027492,0.0932722
4.92,0.0491039,0.00275946,0.0934621
4.93,0.0492034,0.00276974,0.093652
4.94,0.0493028,0.00278003,0.0938419
4.95,0.0494023,0.00279035,0.0940318
4.96,0.0495017,0.00280068,0.0942218
4.97,0.0496012,0.00281103,0.0944117
4.98,0.0497007,0.00282141,0.0946016
4.99,0.0498001,0.0028318,0.0947915
5,0.0498996,0.00284221,0.0949815
5.01,0.049999,0.00285264,0.0951714
5.02,0.0500985,0.00286308,0.0953613
5.03,0.0501979,0.00287355,0.0955512
5.04,0.0502974,0.00288403,0.0957411
5.05,0.0503968,0.00289454,0.095931
5.06,0.0504963,0.00290506,0.096121
5.07,0.0505957,0.0029156,0.0963109
5.08,0.0506951,0.00292616,0.0965008
5.09,0.0507946,0.00293674,0.0966907
5.1,0.050894,0.00294734,0.0968806
5.11,0.0509935,0.00295796,0.0970706
5.12,0.0510929,0.0029686,0.0972605
5.13,0.0511923,0.00297925,0.0974504
5.14,0.0512917,0.00298993,0.0976403
5.15,0.0513912,0.00300062,0.0978302
5.16,0.0514906,0.00301133,0.0980201
5.17,0.05159,0.00302206,0.0982101
5.18,0.0516894,0.00303281,0.0984
5.19,0.0517888,0.00304358,0.0985899
5.2,0.0518883,0.00305437,0.0987798
5.21,0.0519877,0.00306517,0.0989697
5.22,0.0520871,0.003076,0.0991596
5.23,0.0521865,0.00308684,0.0993496
5.24,0.0522859,0.0030977,0.0995395
5.25,0.0523853,0.00310859,0.0997294
5.26,0.0524847,0.00311949,0.0999193
5.27,0.0525841,0.00313041,0.100109
5.28,0.0526835,0.00314135,0.100299
5.29,0.0527829,0.0031523,0.100489
5.3,0.0528823,0.00316328,0.100679
5.31,0.0529817,0.00317427,0.100869
5.32,0.0530811,0.00318529,0.101059
5.33,0.0531805,0.00319632,0.101249
5.34,0.0532799,0.00320737,0.101439
5.35,0.0533792,0.00321844,0.101629
5.36,0.0534786,0.00322953,0.101818
5.37,0.053578,0.00324064,0.102008
5.38,0.0536774,0.00325177,0.102198
5.39,0.0537768,0.00326291,0.102388
5.4,0.0538761,0.00327408,0.102578
5.41,0.0539755,0.00328526,0.102768
5.42,0.0540749,0.00329646,0.102958
5.43,0.0541742,0.00330769,0.103148
5.44,0.0542736,0.00331893,0.103338
5.45,0.054373,0.00333019,0.103528
5.46,0.0544723,0.00334146,0.103718
5.47,0.0545717,0.00335276,0.103907
5.48,0.054671,0.00336408,0.104097
5.49,0.0547704,0.00337541,0.104287
5.5,0.0548697,0.00338676,0.104477
5.51,0.0549691,0.00339814,0.104667
5.52,0.0550684,0.00340953,0.104857
5.53,0.0551678,0.00342094,0.105047
5.54,0.0552671,0.00343237,0.105237
5.55,0.0553665,0.00344382,0.105427
5.56,0.0554658,0.00345528,0.105617
5.57,0.0555651,0.00346677,0.105807
5.58,0.0556645,0.00347827,0.105996
5.59,0.0557638,0.0034898,0.106186
5.6,0.0558631,0.00350134,0.106376
5.61,0.0559625,0.0035129,0.106566
5.62,0.0560618,0.00352448,0.106756
5.63,0.0561611,0.00353608,0.106946
5.64,0.0562604,0.0035477,0.107136
5.65,0.0563598,0.00355933,0.107326
5.66,0.0564591,0.00357099,0.107516
5.67,0.0565584,0.00358266,0.107706
5.68,0.0566577,0.00359435,0.107896
5.69,0.056757,0.00360607,0.108085
5.7,0.0568563,0.0036178,0.108275
5.71,0.0569556,0.00362955,0.108465
5.72,0.0570549,0.00364132,0.108655
5.73,0.0571542,0.0036531,0.108845
5.74,0.0572535,0.00366491,0.109035
5.75,0.0573528,0.00367673,0.109225
5.76,0.0574521,0.00368858,0.109415
5.77,0.0575514,0.00370044,0.109605
5.78,0.0576507,0.00371232,0.109795
5.79,0.05775,0.00372422,0.109985
5.8,0.0578493,0.00373614,0.110174
5.81,0.0579486,0.00374808,0.110364
5.82,0.0580478,0.00376004,0.110554
5.83,0.0581471,0.00377201,0.110744
5.84,0.0582464,0.00378401,0.110934
5.85,0.0583457,0.00379602,0.111124
5.86,0.0584449,0.00380805,0.111314
5.87,0.0585442,0.00382011,0.111504
5.88,0.0586435,0.00383218,0.111694
5.89,0.0587427,0.00384427,0.111884
5.9,0.058842,0.00385637,0.112073
5.91,0.0589413,0.0038685,0.112263
5.92,0.0590405,0.00388065,0.112453
5.93,0.0591398,0.00389281,0.112643
5.94,0.059239,0.00390499,0.112833
5.95,0.0593383,0.0039172,0.113023
5.96,0.0594375,0.00392942,0.113213
5.97,0.0595368,0.00394166,0.113403
5.98,0.059636,0.00395391,0.113593
5.99,0.0597353,0.00396619,0.113783
6,0.0598345,0.00397849,0.113972
6.01,0.0599337,0.0039908,0.114162
6.02,0.060033,0.00400314,0.114352
6.03,0.0601322,0.00401549,0.114542
6.04,0.0602314,0.00402786,0.114732
6.05,0.0603307,0.00404025,0.114922
6.06,0.0604299,0.00405266,0.115112
6.07,0.0605291,0.00406509,0.115302
6.08,0.0606283,0.00407754,0.115492
6.09,0.0607276,0.00409,0.115682
6.1,0.0608268,0.00410249,0.115871
6.11,0.060926,0.00411499,0.116061
6.12,0.0610252,0.00412751,0.116251
6.13,0.0611244,0.00414006,0.116441
6.14,0.0612236,0.00415262,0.116631
6.15,0.0613228,0.00416519,0.116821
6.16,0.061422,0.00417779,0.117011
6.17,0.0615212,0.00419041,0.117201
6.18,0.0616204,0.00420304,0.117391
6.19,0.0617196,0.0042157,0.11758
6.2,0.0618188,0.00422837,0.11777
6.21,0.061918,0.00424106,0.11796
6.22,0.0620172,0.00425378,0.11815
6.23,0.0621164,0.0042665,0.11834
6.24,0.0622156,0.00427925,0.11853
6.25,0.0623147,0.00429202,0.11872
6.26,0.0624139,0.00430481,0.11891
6.27,0.0625131,0.00431761,0.1191
6.28,0.0626123,0.00433044,0.11929
6.29,0.0627114,0.00434328,0.119479
6.3,0.0628106,0.00435614,0.119669
6.31,0.0629098,0.00436902,0.119859
6.32,0.0630089,0.00438192,0.120049
6.33,0.0631081,0.00439484,0.120239
6.34,0.0632072,0.00440777,0.120429
6.35,0.0633064,0.00442073,0.120619
6.36,0.0634056,0.0044337,0.120809
6.37,0.0635047,0.0044467,0.120999
6.38,0.0636039,0.00445971,0.121188
6.39,0.063703,0.00447274,0.121378
