S,R,Z,Psi
0,0,0,0
0.01,9.99996e-05,2.49999e-07,4.99999e-05
0.02,0.000199999,5.04998e-07,9.99999e-05
0.03,0.000299999,7.64997e-07,0.00015
0.04,0.000399998,1.03e-06,0.0002
0.05,0.000499998,1.29999e-06,0.00025
0.06,0.000599997,1.57499e-06,0.0003
0.07,0.000699997,1.85499e-06,0.000349999
0.08,0.000799996,2.13999e-06,0.000399999
0.09,0.000899996,2.42999e-06,0.000449999
0.1,0.000999995,2.72499e-06,0.000499999
0.11,0.00109999,3.02499e-06,0.000549999
0.12,0.00119999,3.32998e-06,0.000599999
0.13,0.00129999,3.63998e-06,0.000649999
0.14,0.00139999,3.95498e-06,0.000699999
0.15,0.00149999,4.27498e-06,0.000749999
0.16,0.00159999,4.59998e-06,0.000799998
0.17,0.00169999,4.92997e-06,0.000849998
0.18,0.00179999,5.26497e-06,0.000899998
0.19,0.00189999,5.60497e-06,0.000949998
0.2,0.00199999,5.94997e-06,0.000999998
0.21,0.00209999,6.29997e-06,0.00105
0.22,0.00219999,6.65496e-06,0.0011
0.23,0.00229999,7.01496e-06,0.00115
0.24,0.00239999,7.37996e-06,0.0012
0.25,0.00249999,7.74996e-06,0.00125
0.26,0.00259998,8.12495e-06,0.0013
0.27,0.00269998,8.50495e-06,0.00135
0.28,0.00279998,8.88995e-06,0.0014
0.29,0.00289998,9.27994e-06,0.00145
0.3,0.00299998,9.67494e-06,0.0015
0.31,0.00309998,1.00749e-05,0.00155
0.32,0.00319998,1.04799e-05,0.0016
0.33,0.00329998,1.08899e-05,0.00165
0.34,0.00339998,1.13049e-05,0.0017
0.35,0.00349998,1.17249e-05,0.00174999
0.36,0.00359998,1.21499e-05,0.00179999
0.37,0.00369997,1.25799e-05,0.00184999
0.38,0.00379997,1.30149e-05,0.00189999
0.39,0.00389997,1.34549e-05,0.00194999
0.4,0.00399997,1.38999e-05,0.00199999
0.41,0.00409997,1.43499e-05,0.00204999
0.42,0.00419997,1.48049e-05,0.00209999
0.43,0.00429997,1.52649e-05,0.00214999
0.44,0.00439997,1.57299e-05,0.00219999
0.45,0.00449997,1.61999e-05,0.00224999
0.46,0.00459996,1.66749e-05,0.00229999
0.47,0.00469996,1.71549e-05,0.00234999
0.48,0.00479996,1.76399e-05,0.00239999
0.49,0.00489996,1.81299e-05,0.00244999
0.5,0.00499996,1.86249e-05,0.00249999
0.51,0.00509996,1.91249e-05,0.00254999
0.52,0.00519996,1.96298e-05,0.00259999
0.53,0.00529995,2.01398e-05,0.00264999
0.54,0.00539995,2.06548e-05,0.00269999
0.55,0.00549995,2.11748e-05,0.00274999
0.56,0.00559995,2.16998e-05,0.00279999
0.57,0.00569995,2.22298e-05,0.00284999
0.58,0.00579995,2.27648e-05,0.00289999
0.59,0.00589995,2.33048e-05,0.00294999
0.6,0.00599994,2.38498e-05,0.00299999
0.61,0.00609994,2.43998e-05,0.00304999
0.62,0.00619994,2.49548e-05,0.00309999
0.63,0.00629994,2.55148e-05,0.00314999
0.64,0.00639994,2.60798e-05,0.00319998
0.65,0.00649994,2.66498e-05,0.00324998
0.66,0.00659993,2.72248e-05,0.00329998
0.67,0.00669993,2.78047e-05,0.00334998
0.68,0.00679993,2.83897e-05,0.00339998
0.69,0.00689993,2.89797e-05,0.00344998
0.7,0.00699993,2.95747e-05,0.00349998
0.71,0.00709992,3.01747e-05,0.00354998
0.72,0.00719992,3.07797e-05,0.00359998
0.73,0.00729992,3.13897e-05,0.00364998
