x1,y1,x2,y2vx1,vy1,vx2,vy2
0.492754, 0.804292, -0.246377, -0.402146, 0.638939, -0.580628, -0.319469, 0.290314
0.499091, 0.798401, -0.249545, -0.3992, 0.633719, -0.589147, -0.31686, 0.294573
0.505375, 0.792424, -0.252687, -0.396212, 0.628405, -0.597649, -0.314202, 0.298825
0.511605, 0.786363, -0.255802, -0.393182, 0.622994, -0.606133, -0.311497, 0.303067
0.51778, 0.780217, -0.25889, -0.390109, 0.617486, -0.614599, -0.308743, 0.3073
0.523899, 0.773987, -0.261949, -0.386993, 0.61188, -0.623046, -0.30594, 0.311523
0.52996, 0.767672, -0.26498, -0.383836, 0.606176, -0.631473, -0.303088, 0.315736
0.535964, 0.761273, -0.267982, -0.380637, 0.600373, -0.639879, -0.300187, 0.31994
0.541909, 0.75479, -0.270954, -0.377395, 0.59447, -0.648264, -0.297235, 0.324132
0.547793, 0.748224, -0.273897, -0.374112, 0.588465, -0.656628, -0.294233, 0.328314
0.553617, 0.741574, -0.276808, -0.370787, 0.582359, -0.664968, -0.291179, 0.332484
0.559378, 0.734842, -0.279689, -0.367421, 0.57615, -0.673285, -0.288075, 0.336643
0.565077, 0.728026, -0.282538, -0.364013, 0.569837, -0.681578, -0.284919, 0.340789
0.570711, 0.721127, -0.285356, -0.360564, 0.56342, -0.689845, -0.28171, 0.344923
0.57628, 0.714147, -0.28814, -0.357073, 0.556898, -0.698087, -0.278449, 0.349043
0.581783, 0.707084, -0.290891, -0.353542, 0.550269, -0.706302, -0.275134, 0.353151
0.587218, 0.699939, -0.293609, -0.349969, 0.543533, -0.714488, -0.271766, 0.357244
0.592585, 0.692712, -0.296292, -0.346356, 0.536689, -0.722646, -0.268344, 0.361323
0.597882, 0.685404, -0.298941, -0.342702, 0.529735, -0.730774, -0.264868, 0.365387
0.603109, 0.678016, -0.301554, -0.339008, 0.522672, -0.738872, -0.261336, 0.369436
0.608264, 0.670546, -0.304132, -0.335273, 0.515497, -0.746937, -0.257749, 0.373469
0.613346, 0.662997, -0.306673, -0.331498, 0.508211, -0.75497, -0.254105, 0.377485
0.618354, 0.655367, -0.309177, -0.327683, 0.500811, -0.762969, -0.250406, 0.381484
0.623287, 0.647658, -0.311644, -0.323829, 0.493297, -0.770932, -0.246649, 0.385466
0.628144, 0.639869, -0.314072, -0.319935, 0.485669, -0.778859, -0.242834, 0.38943
0.632923, 0.632002, -0.316462, -0.316001, 0.477924, -0.786749, -0.238962, 0.393374
0.637624, 0.624056, -0.318812, -0.312028, 0.470061, -0.7946, -0.235031, 0.3973
0.642244, 0.616031, -0.321122, -0.308016, 0.462081, -0.802411, -0.23104, 0.401205
0.646784, 0.60793, -0.323392, -0.303965, 0.453981, -0.81018, -0.22699, 0.40509
0.651242, 0.599751, -0.325621, -0.299875, 0.44576, -0.817907, -0.22288, 0.408953
0.655616, 0.591495, -0.327808, -0.295747, 0.437418, -0.825589, -0.218709, 0.412794
0.659906, 0.583162, -0.329953, -0.291581, 0.428954, -0.833226, -0.214477, 0.416613
0.664109, 0.574754, -0.332055, -0.287377, 0.420365, -0.840815, -0.210183, 0.420408
0.668226, 0.566271, -0.334113, -0.283135, 0.411652, -0.848356, -0.205826, 0.424178
0.672254, 0.557712, -0.336127, -0.278856, 0.402813, -0.855847, -0.201406, 0.427923
0.676192, 0.549079, -0.338096, -0.27454, 0.393846, -0.863286, -0.196923, 0.431643
0.68004, 0.540373, -0.34002, -0.270186, 0.384752, -0.870671, -0.192376, 0.435335
0.683795, 0.531593, -0.341898, -0.265796, 0.375527, -0.878, -0.187764, 0.439
