S,R,Z,Psi
0,0,0,0
0.01,9.99935e-05,9.87456e-07,0.0001975
0.02,0.000199987,1.99464e-06,0.000394999
0.03,0.00029998,3.02157e-06,0.000592499
0.04,0.000399973,4.06825e-06,0.000789998
0.05,0.000499965,5.13468e-06,0.000987497
0.06,0.000599958,6.22086e-06,0.001185
0.07,0.00069995,7.32678e-06,0.0013825
0.08,0.000799942,8.45246e-06,0.00157999
0.09,0.000899934,9.59788e-06,0.00177749
0.1,0.000999926,1.0763e-05,0.00197499
0.11,0.00109992,1.1948e-05,0.00217249
0.12,0.00119991,1.31526e-05,0.00236999
0.13,0.0012999,1.4377e-05,0.00256749
0.14,0.00139989,1.56212e-05,0.00276498
0.15,0.00149988,1.68851e-05,0.00296248
0.16,0.00159987,1.81688e-05,0.00315998
0.17,0.00169986,1.94722e-05,0.00335748
0.18,0.00179985,2.07953e-05,0.00355497
0.19,0.00189984,2.21382e-05,0.00375247
0.2,0.00199983,2.35008e-05,0.00394997
0.21,0.00209982,2.48832e-05,0.00414747
0.22,0.00219981,2.62854e-05,0.00434496
0.23,0.00229979,2.77073e-05,0.00454246
0.24,0.00239978,2.91489e-05,0.00473996
0.25,0.00249977,3.06103e-05,0.00493745
0.26,0.00259976,3.20914e-05,0.00513495
0.27,0.00269974,3.35923e-05,0.00533244
0.28,0.00279973,3.51129e-05,0.00552994
0.29,0.00289972,3.66532e-05,0.00572744
0.3,0.0029997,3.82133e-05,0.00592493
0.31,0.00309969,3.97932e-05,0.00612243
0.32,0.00319967,4.13928e-05,0.00631992
0.33,0.00329966,4.30121e-05,0.00651742
0.34,0.00339965,4.46512e-05,0.00671491
0.35,0.00349963,4.63101e-05,0.00691241
0.36,0.00359961,4.79887e-05,0.0071099
0.37,0.0036996,4.9687e-05,0.0073074
0.38,0.00379958,5.14051e-05,0.00750489
0.39,0.00389956,5.31429e-05,0.00770239
0.4,0.00399955,5.49005e-05,0.00789988
0.41,0.00409953,5.66778e-05,0.00809738
0.42,0.00419951,5.84748e-05,0.00829487
