S,R,Z,Psi
0,0,0,0
0.01,9.99934e-05,9.92456e-07,0.0001985
0.02,0.000199987,2.00474e-06,0.000396999
0.03,0.00029998,3.03687e-06,0.000595499
0.04,0.000399973,4.08885e-06,0.000793998
0.05,0.000499965,5.16068e-06,0.000992497
0.06,0.000599958,6.25235e-06,0.001191
0.07,0.00069995,7.36388e-06,0.0013895
0.08,0.000799942,8.49525e-06,0.00158799
0.09,0.000899933,9.64647e-06,0.00178649
0.1,0.000999925,1.08175e-05,0.00198499
0.11,0.00109992,1.20085e-05,0.00218349
0.12,0.00119991,1.32192e-05,0.00238199
0.13,0.0012999,1.44498e-05,0.00258049
0.14,0.00139989,1.57003e-05,0.00277898
0.15,0.00149988,1.69706e-05,0.00297748
0.16,0.00159987,1.82607e-05,0.00317598
0.17,0.00169986,1.95707e-05,0.00337448
0.18,0.00179985,2.09006e-05,0.00357297
0.19,0.00189984,2.22503e-05,0.00377147
0.2,0.00199983,2.36198e-05,0.00396997
0.21,0.00209982,2.50092e-05,0.00416847
0.22,0.0021998,2.64184e-05,0.00436696
0.23,0.00229979,2.78475e-05,0.00456546
0.24,0.00239978,2.92965e-05,0.00476396
0.25,0.00249977,3.07652e-05,0.00496245
0.26,0.00259975,3.22538e-05,0.00516095
0.27,0.00269974,3.37623e-05,0.00535944
0.28,0.00279973,3.52906e-05,0.00555794
0.29,0.00289971,3.68388e-05,0.00575644
0.3,0.0029997,3.84068e-05,0.00595493
0.31,0.00309969,3.99947e-05,0.00615343
0.32,0.00319967,4.16024e-05,0.00635192
0.33,0.00329966,4.32299e-05,0.00655042
0.34,0.00339964,4.48773e-05,0.00674891
0.35,0.00349963,4.65445e-05,0.00694741
0.36,0.00359961,4.82316e-05,0.0071459
0.37,0.00369959,4.99385e-05,0.0073444
0.38,0.00379958,5.16653e-05,0.00754289
0.39,0.00389956,5.34119e-05,0.00774139
0.4,0.00399954,5.51784e-05,0.00793988
0.41,0.00409953,5.69647e-05,0.00813837
0.42,0.00419951,5.87709e-05,0.00833687
0.43,0.00429949,6.05969e-05,0.00853536
0.44,0.00439947,6.24427e-05,0.00873386
0.45,0.00449945,6.43084e-05,0.00893235
0.46,0.00459943,6.61939e-05,0.00913084
0.47,0.00469941,6.80993e-05,0.00932934
0.48,0.00479939,7.00245e-05,0.00952783
0.49,0.00489937,7.19696e-05,0.00972632
0.5,0.00499935,7.39345e-05,0.00992481
0.51,0.00509933,7.59193e-05,0.0101233
0.52,0.00519931,7.79239e-05,0.0103218
0.53,0.00529929,7.99483e-05,0.0105203
0.54,0.00539926,8.19926e-05,0.0107188
0.55,0.00549924,8.40568e-05,0.0109173
0.56,0.00559922,8.61407e-05,0.0111158
0.57,0.00569919,8.82446e-05,0.0113143
0.58,0.00579917,9.03682e-05,0.0115128
0.59,0.00589914,9.25117e-05,0.0117112
0.6,0.00599912,9.46751e-05,0.0119097
0.61,0.00609909,9.68583e-05,0.0121082
0.62,0.00619907,9.90613e-05,0.0123067
0.63,0.00629904,0.000101284,0.0125052
0.64,0.00639901,0.000103527,0.0127037
0.65,0.00649899,0.00010579,0.0129022
0.66,0.00659896,0.000108072,0.0131007
0.67,0.00669893,0.000110374,0.0132992
0.68,0.0067989,0.000112696,0.0134977
0.69,0.00689887,0.000115038,0.0136961
0.7,0.00699884,0.0001174,0.0138946
0.71,0.00709881,0.000119782,0.0140931
0.72,0.00719878,0.000122183,0.0142916
0.73,0.00729875,0.000124604,0.0144901
0.74,0.00739872,0.000127046,0.0146886
0.75,0.00749869,0.000129507,0.0148871
0.76,0.00759866,0.000131987,0.0150856
0.77,0.00769862,0.000134488,0.0152841
0.78,0.00779859,0.000137009,0.0154825
0.79,0.00789856,0.000139549,0.015681
0.8,0.00799852,0.000142109,0.0158795
0.81,0.00809849,0.000144689,0.016078
0.82,0.00819845,0.000147289,0.0162765
0.83,0.00829842,0.000149909,0.016475
0.84,0.00839838,0.000152548,0.0166735
0.85,0.00849834,0.000155208,0.016872
0.86,0.0085983,0.000157887,0.0170705
0.87,0.00869827,0.000160586,0.0172689
0.88,0.00879823,0.000163305,0.0174674
0.89,0.00889819,0.000166044,0.0176659
0.9,0.00899815,0.000168802,0.0178644
0.91,0.00909811,0.000171581,0.0180629
0.92,0.00919807,0.000174379,0.0182614
0.93,0.00929803,0.000177197,0.0184599
0.94,0.00939799,0.000180035,0.0186583
0.95,0.00949794,0.000182893,0.0188568
0.96,0.0095979,0.000185771,0.0190553
0.97,0.00969786,0.000188668,0.0192538
0.98,0.00979781,0.000191586,0.0194523
0.99,0.00989777,0.000194523,0.0196508
1,0.00999772,0.00019748,0.0198493
1.01,0.0100977,0.000200457,0.0200477
1.02,0.0101976,0.000203453,0.0202462
1.03,0.0102976,0.00020647,0.0204447
1.04,0.0103975,0.000209506,0.0206432
1.05,0.0104975,0.000212562,0.0208417
1.06,0.0105974,0.000215638,0.0210402
1.07,0.0106974,0.000218734,0.0212387
1.08,0.0107973,0.00022185,0.0214371
1.09,0.0108973,0.000224985,0.0216356
1.1,0.0109972,0.000228141,0.0218341
1.11,0.0110972,0.000231316,0.0220326
1.12,0.0111971,0.000234511,0.0222311
1.13,0.0112971,0.000237726,0.0224296
1.14,0.011397,0.000240961,0.022628
1.15,0.011497,0.000244215,0.0228265
1.16,0.0115969,0.00024749,0.023025
1.17,0.0116969,0.000250784,0.0232235
1.18,0.0117968,0.000254098,0.023422
1.19,0.0118967,0.000257432,0.0236204
1.2,0.0119967,0.000260786,0.0238189
1.21,0.0120966,0.000264159,0.0240174
