p_La_gamma,volumes
1.61,0.0419417
1.615,0.0420882
1.62,0.0422349
1.625,0.0423815
1.63,0.0425282
1.635,0.0426749
1.64,0.0428217
1.645,0.0429685
1.65,0.0431153
1.655,0.0432622
1.66,0.0434091
1.665,0.0435561
1.67,0.0437031
1.675,0.0438501
1.68,0.0439971
1.685,0.0441442
1.69,0.0442914
1.695,0.0444385
1.7,0.0445857
1.705,0.0447329
1.71,0.0448802
1.715,0.0450274
1.72,0.0451747
1.725,0.0453221
1.73,0.0454694
1.735,0.0456506
1.74,0.0457981
1.745,0.0459457
1.75,0.0460932
1.755,0.0462408
1.76,0.0463884
1.765,0.046536
1.77,0.0466836
1.775,0.0468313
1.78,0.0470137
1.785,0.0471615
1.79,0.0473093
1.795,0.0474571
1.8,0.047605
1.805,0.0477528
1.81,0.0479007
1.815,0.048084
1.82,0.048232
1.825,0.04838
1.83,0.048528
1.835,0.048676
1.84,0.0488599
1.845,0.0490081
1.85,0.0491563
1.855,0.0493044
1.86,0.0494526
1.865,0.0496371
1.87,0.0497854
1.875,0.0499337
1.88,0.050082
1.885,0.0502303
1.89,0.0504154
1.895,0.0505638
1.9,0.0507122
1.905,0.0508606
1.91,0.0510462
1.915,0.0511947
1.92,0.0513432
1.925,0.0514917
1.93,0.0516778
1.935,0.0518263
1.94,0.0519749
1.945,0.0521613
1.95,0.05231
1.955,0.0524586
1.96,0.0526072
1.965,0.0527941
1.97,0.0529428
1.975,0.0530915
1.98,0.0532788
1.985,0.0534275
1.99,0.0535763
1.995,0.0537639
2,0.0539127
2.005,0.0540615
2.01,0.0542494
2.015,0.0543983
2.02,0.0545864
2.025,0.0547353
2.03,0.0548842
2.035,0.0550727
2.04,0.0552217
2.045,0.0553706
2.05,0.0555594
2.055,0.0557083
2.06,0.0558974
2.065,0.0560464
2.07,0.0562357
2.075,0.0563847
2.08,0.0565337
2.085,0.0567233
2.09,0.0568723
2.095,0.0570621
2.1,0.0572111
2.105,0.0574012
2.11,0.0575502
2.115,0.0577405
2.12,0.0578896
2.125,0.05808
2.13,0.0582291
2.135,0.0584198
2.14,0.0585689
2.145,0.0587597
2.15,0.0589089
2.155,0.0590999
2.16,0.059249
2.165,0.0594403
2.17,0.0595894
2.175,0.0597809
2.18,0.05993
2.185,0.0601216
2.19,0.0602707
2.195,0.0604625
2.2,0.0606116
2.205,0.0608036
2.21,0.0609957
2.215,0.0611448
2.22,0.0613371
2.225,0.0614862
2.23,0.0616786
2.235,0.0618712
2.24,0.0620203
2.245,0.062213
2.25,0.0624059
2.255,0.062555
2.26,0.062748
2.265,0.0629412
2.27,0.0630902
2.275,0.0632835
2.28,0.0634769
2.285,0.063626
2.29,0.0638195
2.295,0.0640132
2.3,0.0641622
2.305,0.064356
2.31,0.0645499
2.315,0.0646988
2.32,0.0648928
2.325,0.065087
2.33,0.0652812
2.335,0.0654301
2.34,0.0656245
2.345,0.0658189
2.35,0.0660135
2.355,0.0662082
2.36,0.066357
2.365,0.0665518
2.37,0.0667466
2.375,0.0669416
2.38,0.0671366
2.385,0.0672854
2.39,0.0674805
2.395,0.0676757
2.4,0.0678711
2.405,0.0680665
2.41,0.068262
2.415,0.0684105
2.42,0.0686061
2.425,0.0688018
2.43,0.0689975
2.435,0.0691933
2.44,0.0693892
2.445,0.0695852
2.45,0.0697812
2.455,0.0699773
2.46,0.0701735
2.465,0.0703698
2.47,0.070518
2.475,0.0707144
2.48,0.0709107
2.485,0.0711072
2.49,0.0713037
2.495,0.0715002
2.5,0.0716968
2.505,0.0718935
2.51,0.0720903
2.515,0.0722871
2.52,0.0724839
2.525,0.0726808
2.53,0.072927
2.535,0.0731241
2.54,0.0733213
2.545,0.0735185
2.55,0.0737157
2.555,0.073913
2.56,0.0741103
2.565,0.0743077
2.57,0.0745051
2.575,0.0747025
2.58,0.0749502
2.585,0.0751478
2.59,0.0753454
2.595,0.0755431
2.6,0.0757408
2.605,0.0759385
2.61,0.0761871
2.615,0.076385
2.62,0.0765828
2.625,0.0767808
2.63,0.0769787
2.635,0.0772279
2.64,0.077426
2.645,0.077624
2.65,0.0778221
2.655,0.0780719
2.66,0.0782701
2.665,0.0784683
2.67,0.0787184
2.675,0.0789167
2.68,0.079115
2.685,0.0793656
2.69,0.0795639
2.695,0.0797623
2.7,0.0800132
2.705,0.0802117
2.71,0.0804101
2.715,0.0806614
2.72,0.0808599
2.725,0.0811114
2.73,0.08131
2.735,0.0815618
2.74,0.0817604
2.745,0.081959
2.75,0.0822111
2.755,0.0824097
2.76,0.082662
2.765,0.0828607
2.77,0.0831132
2.775,0.0833119
2.78,0.0835646
2.785,0.0838175
2.79,0.0840162
2.795,0.0842693
2.8,0.084468
2.805,0.0847213
2.81,0.08492
2.815,0.0851735
2.82,0.0854271
2.825,0.0856258
2.83,0.0858795
2.835,0.0861334
2.84,0.0863322
2.845,0.0865862
2.85,0.0868403
2.855,0.0870946
2.86,0.0872933
2.865,0.0875477
2.87,0.0878021
2.875,0.0880567
2.88,0.0882554
2.885,0.0885101
2.89,0.0887649
2.895,0.0890198
2.9,0.0892748
2.905,0.0894734
2.91,0.0897285
2.915,0.0899837
2.92,0.0902389
2.925,0.0904942
2.93,0.0907496
2.935,0.0910051
2.94,0.0912607
2.945,0.0915163
2.95,0.091772
2.955,0.0920277
2.96,0.0922835
2.965,0.0925394
2.97,0.0927953
2.975,0.0930513
2.98,0.0933073
2.985,0.0935634
2.99,0.0938195
2.995,0.0940757
3,0.0943318
3.005,0.0945881
3.01,0.0949028
3.015,0.0951592
3.02,0.0954156
3.025,0.095672
3.03,0.0959285
3.035,0.0962439
3.04,0.0965005
3.045,0.096757
3.05,0.0970729
3.055,0.0973295
3.06,0.0975862
3.065,0.0978428
3.07,0.0981592
3.075,0.0984159
3.08,0.0987325
3.085,0.0989892
3.09,0.099246
3.095,0.0995629
3.1,0.0998197
3.105,0.100137
3.11,0.100394
3.115,0.100711
3.12,0.100968
3.125,0.101285
3.13,0.101603
3.135,0.10186
3.14,0.102177
3.145,0.102434
3.15,0.102752
3.155,0.10307
3.16,0.103327
3.165,0.103645
3.17,0.103963
3.175,0.104282
3.18,0.104539
3.185,0.104857
3.19,0.105176
3.195,0.105494
3.2,0.105813
3.205,0.106132
3.21,0.106451
3.215,0.10677
3.22,0.107088
3.225,0.107407
3.23,0.107727
3.235,0.108046
3.24,0.108365
3.245,0.108684
3.25,0.109003
3.255,0.109322
3.26,0.109642
3.265,0.109961
3.27,0.11028
